priority1,priority2,type,package_name,field_name,method_name,startline,endline,label,s1,s2,s3,s4,addr,_package,_class,_method,rank_score,rank_score0,rank_score1,rank_score2,rank_score3,rank_score4,rank_score5,rank_score6,rank_score7,rank_score8,rank_score9,rank_score10,s4_rank0,s4_rank1,s4_rank2,s4_rank3,s4_rank4,s4_rank5,s4_rank6,s4_rank7,s4_rank8,s4_rank9,s4_rank10
L,V,DP_DO_INSIDE_DO_PRIVILEGED,com.metamx.common.ByteBufferUtils,NO_FIELD,<clinit>()V,40,40,1,0,1,1.0,1.0,DP,com.metamx.common,com.metamx.common.ByteBufferUtils,com.metamx.common.ByteBufferUtils.<clinit>,0.39147407726027056,0.3903178655230672,0.3905491078705079,0.39078035021794855,0.3910115925653892,0.39124283491282985,0.39147407726027056,0.3917053196077112,0.3919365619551518,0.39216780430259246,0.3923990466500331,0.3926302889974738,0.3903178655230672,0.3905491078705079,0.39078035021794855,0.3910115925653892,0.39124283491282985,0.39147407726027056,0.3917053196077112,0.3919365619551518,0.39216780430259246,0.3923990466500331,0.3926302889974738
M,B,THROWS_METHOD_THROWS_RUNTIMEEXCEPTION,com.metamx.common.ByteBufferUtils,NO_FIELD,free(Ljava/nio/ByteBuffer;)V,67,71,1,0,1,1.0,1.0,THROWS,com.metamx.common,com.metamx.common.ByteBufferUtils,com.metamx.common.ByteBufferUtils.free,0.38592827454383655,0.37922626009019933,0.3805666629809268,0.38190706587165424,0.38324746876238164,0.38458787165310915,0.38592827454383655,0.387268677434564,0.38860908032529146,0.3899494832160189,0.3912898861067463,0.3926302889974738,0.37922626009019933,0.3805666629809268,0.38190706587165424,0.38324746876238164,0.38458787165310915,0.38592827454383655,0.387268677434564,0.38860908032529146,0.3899494832160189,0.3912898861067463,0.3926302889974738
M,B,THROWS_METHOD_THROWS_RUNTIMEEXCEPTION,com.metamx.common.ByteBufferUtils,NO_FIELD,unmap(Ljava/nio/MappedByteBuffer;)V,82,87,1,0,1,1.0,1.0,THROWS,com.metamx.common,com.metamx.common.ByteBufferUtils,com.metamx.common.ByteBufferUtils.unmap,0.39087342076976134,0.3891165525420489,0.3894679261875914,0.3898192998331339,0.3901706734786764,0.39052204712421884,0.39087342076976134,0.3912247944153039,0.3915761680608464,0.3919275417063888,0.3922789153519313,0.3926302889974738,0.3891165525420489,0.3894679261875914,0.3898192998331339,0.3901706734786764,0.39052204712421884,0.39087342076976134,0.3912247944153039,0.3915761680608464,0.3919275417063888,0.3922789153519313,0.3926302889974738
H,B,DMI_RANDOM_USED_ONLY_ONCE,com.metamx.common.RetryUtils,NO_FIELD,awaitNextRetry(Ljava/lang/Throwable;IZ)V,85,85,1,0,1,1.0,1.0,DMI,com.metamx.common,com.metamx.common.RetryUtils,com.metamx.common.RetryUtils.awaitNextRetry,0.36959846189017476,0.374097145633367,0.3731974088847286,0.3722976721360901,0.37139793538745164,0.3704981986388132,0.36959846189017476,0.36869872514153634,0.36779898839289793,0.36689925164425946,0.365999514895621,0.3650997781469826,0.374097145633367,0.3731974088847286,0.3722976721360901,0.37139793538745164,0.3704981986388132,0.36959846189017476,0.36869872514153634,0.36779898839289793,0.36689925164425946,0.365999514895621,0.3650997781469826
M,B,THROWS_METHOD_THROWS_RUNTIMEEXCEPTION,com.metamx.common.RetryUtils,NO_FIELD,retry(Ljava/util/concurrent/Callable;Lcom/google/common/base/Predicate;II)Ljava/lang/Object;,55,69,0,0,0,0.8566403659999999,0.8577018270000001,THROWS,com.metamx.common,com.metamx.common.RetryUtils,com.metamx.common.RetryUtils.retry,0.36014343562133044,0.35518709309567836,0.35617836160080873,0.3571696301059392,0.3581608986110696,0.3591521671162,0.36014343562133044,0.3611347041264609,0.3621259726315913,0.3631172411367217,0.3641085096418522,0.3650997781469826,0.30464461867498244,0.3054948314828803,0.3063450442907783,0.3071952570986762,0.3080454699065741,0.30889568271447204,0.30974589552237003,0.3105961083302679,0.3114463211381658,0.31229653394606377,0.31314674675396165
M,B,THROWS_METHOD_THROWS_CLAUSE_BASIC_EXCEPTION,com.metamx.common.RetryUtils,NO_FIELD,retry(Ljava/util/concurrent/Callable;Lcom/google/common/base/Predicate;II)Ljava/lang/Object;,55,69,0,0,0,0.8566403659999999,0.8577018270000001,THROWS,com.metamx.common,com.metamx.common.RetryUtils,com.metamx.common.RetryUtils.retry,0.36014343562133044,0.35518709309567836,0.35617836160080873,0.3571696301059392,0.3581608986110696,0.3591521671162,0.36014343562133044,0.3611347041264609,0.3621259726315913,0.3631172411367217,0.3641085096418522,0.3650997781469826,0.30464461867498244,0.3054948314828803,0.3063450442907783,0.3071952570986762,0.3080454699065741,0.30889568271447204,0.30974589552237003,0.3105961083302679,0.3114463211381658,0.31229653394606377,0.31314674675396165
L,I,DM_CONVERT_CASE,com.metamx.common.parsers.ParserUtils,NO_FIELD,findDuplicates(Ljava/lang/Iterable;)Ljava/util/Set;,70,70,0,0,0,0.809120457,0.873798063,Dm,com.metamx.common.parsers,com.metamx.common.parsers.ParserUtils,com.metamx.common.parsers.ParserUtils.findDuplicates,0.3407404379700103,0.3259704770988533,0.3289244692730847,0.33187846144731614,0.3348324536215475,0.3377864457957789,0.3407404379700103,0.3436944301442417,0.34664842231847315,0.3496024144927045,0.352556406666936,0.3555103988411674,0.28483237148416385,0.28741356412412444,0.289994756764085,0.2925759494040455,0.29515714204400606,0.29773833468396665,0.3003195273239272,0.3029007199638878,0.3054819126038483,0.3080631052438089,0.3106442978837695
M,B,THROWS_METHOD_THROWS_RUNTIMEEXCEPTION,com.metamx.common.guava.ConcatSequence,NO_FIELD,toYielder(Ljava/lang/Object;Lcom/metamx/common/guava/YieldingAccumulator;)Lcom/metamx/common/guava/Yielder;,58,78,1,0,1,1.0,1.0,THROWS,com.metamx.common.guava,com.metamx.common.guava.ConcatSequence,com.metamx.common.guava.ConcatSequence.toYielder,0.32088925905245685,0.38205003224155376,0.3698178776037344,0.357585722965915,0.3453535683280956,0.33312141369027626,0.32088925905245685,0.3086571044146375,0.2964249497768181,0.2841927951389987,0.2719606405011793,0.25972848586335995,0.38205003224155376,0.3698178776037344,0.357585722965915,0.3453535683280956,0.33312141369027626,0.32088925905245685,0.3086571044146375,0.2964249497768181,0.2841927951389987,0.2719606405011793,0.25972848586335995
L,P,URF_UNREAD_FIELD,com.metamx.common.parsers.JSONPathParser,fieldSpecs,NO_METHOD,63,63,1,0,1,1.0,1.0,UrF,com.metamx.common.parsers,com.metamx.common.parsers.JSONPathParser,com.metamx.common.parsers.JSONPathParser.NO_METHOD,0.3185630436451243,0.3850338350611953,0.37173967677798114,0.3584455184947669,0.3451513602115527,0.33185720192833856,0.3185630436451243,0.30526888536191016,0.29197472707869593,0.27868056879548175,0.2653864105122675,0.25209225222905335,0.3850338350611953,0.37173967677798114,0.3584455184947669,0.3451513602115527,0.33185720192833856,0.3185630436451243,0.30526888536191016,0.29197472707869593,0.27868056879548175,0.2653864105122675,0.25209225222905335
M,P,WMI_WRONG_MAP_ITERATOR,com.metamx.common.parsers.JSONPathParser,NO_FIELD,discoverFields(Ljava/util/Map;Ljava/util/Map;)V,150,150,1,0,1,1.0,1.0,WMI,com.metamx.common.parsers,com.metamx.common.parsers.JSONPathParser,com.metamx.common.parsers.JSONPathParser.discoverFields,0.3185630436451243,0.3850338350611953,0.37173967677798114,0.3584455184947669,0.3451513602115527,0.33185720192833856,0.3185630436451243,0.30526888536191016,0.29197472707869593,0.27868056879548175,0.2653864105122675,0.25209225222905335,0.3850338350611953,0.37173967677798114,0.3584455184947669,0.3451513602115527,0.33185720192833856,0.3185630436451243,0.30526888536191016,0.29197472707869593,0.27868056879548175,0.2653864105122675,0.25209225222905335
