EI_EXPOSE_REP2=>748
URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD=>90
NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE=>757
SIC_INNER_SHOULD_BE_STATIC_ANON=>47
SQL_PREPARED_STATEMENT_GENERATED_FROM_NONCONSTANT_STRING=>56
RV_RETURN_VALUE_IGNORED=>12
DM_INVALID_MIN_MAX=>40
IS2_INCONSISTENT_SYNC=>252
THROWS_METHOD_THROWS_CLAUSE_BASIC_EXCEPTION=>215
SE_TRANSIENT_FIELD_NOT_RESTORED=>84
UC_USELESS_VOID_METHOD=>5
EQ_COMPARETO_USE_OBJECT_EQUALS=>252
DCN_NULLPOINTER_EXCEPTION=>11
DM_DEFAULT_ENCODING=>131
NP_NULL_PARAM_DEREF=>84
EI_EXPOSE_REP=>243
IL_INFINITE_RECURSIVE_LOOP=>5
REC_CATCH_EXCEPTION=>12
UG_SYNC_SET_UNSYNC_GET=>87
SE_NO_SERIALVERSIONID=>410
NM_SAME_SIMPLE_NAME_AS_SUPERCLASS=>84
JUA_DONT_ASSERT_INSTANCEOF_IN_TESTS=>61
RCN_REDUNDANT_NULLCHECK_WOULD_HAVE_BEEN_A_NPE=>1
HE_EQUALS_USE_HASHCODE=>4
