priority1,priority2,type,package_name,field_name,method_name,startline,endline,label,s1,s2,s3,s4,addr,_package,_class,_method,rank_score,rank_score0,rank_score1,rank_score2,rank_score3,rank_score4,rank_score5,rank_score6,rank_score7,rank_score8,rank_score9,rank_score10,s4_rank0,s4_rank1,s4_rank2,s4_rank3,s4_rank4,s4_rank5,s4_rank6,s4_rank7,s4_rank8,s4_rank9,s4_rank10
M,P,DM_NUMBER_CTOR,org.apache.commons.lang.mutable.MutableInt,NO_FIELD,getValue()Ljava/lang/Integer;,89,89,0,0.0,1.0,0.8345921050228533,1.0,Bx,org.apache.commons.lang.mutable,org.apache.commons.lang.mutable.MutableInt,org.apache.commons.lang.mutable.MutableInt.getValue,0.12780599416675048,0.0018706627778336518,0.027057729055617017,0.05224479533340039,0.07743186161118375,0.10261892788896712,0.12780599416675048,0.15299306044453384,0.1781801267223172,0.2033671930001006,0.22855425927788395,0.2537413255556673,0.0018706627778336518,0.027057729055617017,0.05224479533340039,0.07743186161118375,0.10261892788896712,0.12780599416675048,0.15299306044453384,0.1781801267223172,0.2033671930001006,0.22855425927788395,0.2537413255556673
M,P,DM_NUMBER_CTOR,org.apache.commons.lang.mutable.MutableLong,NO_FIELD,getValue()Ljava/lang/Long;,89,89,0,0.0,1.0,0.8153578535437319,1.0,Bx,org.apache.commons.lang.mutable,org.apache.commons.lang.mutable.MutableLong,org.apache.commons.lang.mutable.MutableLong.getValue,0.12780599416675048,0.0018706627778336518,0.027057729055617017,0.05224479533340039,0.07743186161118375,0.10261892788896712,0.12780599416675048,0.15299306044453384,0.1781801267223172,0.2033671930001006,0.22855425927788395,0.2537413255556673,0.0018706627778336518,0.027057729055617017,0.05224479533340039,0.07743186161118375,0.10261892788896712,0.12780599416675048,0.15299306044453384,0.1781801267223172,0.2033671930001006,0.22855425927788395,0.2537413255556673
M,P,DM_NUMBER_CTOR,org.apache.commons.lang.mutable.MutableShort,NO_FIELD,getValue()Ljava/lang/Short;,89,89,0,0.0,1.0,0.8248751327822511,1.0,Bx,org.apache.commons.lang.mutable,org.apache.commons.lang.mutable.MutableShort,org.apache.commons.lang.mutable.MutableShort.getValue,0.12780599416675048,0.0018706627778336518,0.027057729055617017,0.05224479533340039,0.07743186161118375,0.10261892788896712,0.12780599416675048,0.15299306044453384,0.1781801267223172,0.2033671930001006,0.22855425927788395,0.2537413255556673,0.0018706627778336518,0.027057729055617017,0.05224479533340039,0.07743186161118375,0.10261892788896712,0.12780599416675048,0.15299306044453384,0.1781801267223172,0.2033671930001006,0.22855425927788395,0.2537413255556673
M,P,DM_NUMBER_CTOR,org.apache.commons.lang.mutable.MutableLong,NO_FIELD,toLong()Ljava/lang/Long;,235,235,1,0.0,1.0,0.7840028401622181,0.9999999999999998,Bx,org.apache.commons.lang.mutable,org.apache.commons.lang.mutable.MutableLong,org.apache.commons.lang.mutable.MutableLong.toLong,0.3778059941667505,0.5018706627778337,0.47705772905561705,0.4522447953334004,0.42743186161118374,0.40261892788896714,0.3778059941667505,0.3529930604445338,0.3281801267223172,0.30336719300010057,0.27855425927788396,0.2537413255556673,0.5018706627778335,0.47705772905561694,0.4522447953334003,0.42743186161118363,0.402618927888967,0.37780599416675037,0.35299306044453377,0.32818012672231717,0.3033671930001005,0.2785542592778839,0.25374132555566725
M,P,DM_NUMBER_CTOR,org.apache.commons.lang.mutable.MutableInt,NO_FIELD,toInteger()Ljava/lang/Integer;,237,237,1,0.0,1.0,0.8228529651718889,0.9999999999999998,Bx,org.apache.commons.lang.mutable,org.apache.commons.lang.mutable.MutableInt,org.apache.commons.lang.mutable.MutableInt.toInteger,0.3778059941667505,0.5018706627778337,0.47705772905561705,0.4522447953334004,0.42743186161118374,0.40261892788896714,0.3778059941667505,0.3529930604445338,0.3281801267223172,0.30336719300010057,0.27855425927788396,0.2537413255556673,0.5018706627778335,0.47705772905561694,0.4522447953334003,0.42743186161118363,0.402618927888967,0.37780599416675037,0.35299306044453377,0.32818012672231717,0.3033671930001005,0.2785542592778839,0.25374132555566725
M,P,DM_NUMBER_CTOR,org.apache.commons.lang.mutable.MutableShort,NO_FIELD,toShort()Ljava/lang/Short;,245,245,1,0.0,1.0,0.8103068590599561,0.9999999999999998,Bx,org.apache.commons.lang.mutable,org.apache.commons.lang.mutable.MutableShort,org.apache.commons.lang.mutable.MutableShort.toShort,0.3778059941667505,0.5018706627778337,0.47705772905561705,0.4522447953334004,0.42743186161118374,0.40261892788896714,0.3778059941667505,0.3529930604445338,0.3281801267223172,0.30336719300010057,0.27855425927788396,0.2537413255556673,0.5018706627778335,0.47705772905561694,0.4522447953334003,0.42743186161118363,0.402618927888967,0.37780599416675037,0.35299306044453377,0.32818012672231717,0.3033671930001005,0.2785542592778839,0.25374132555566725
M,P,DM_NUMBER_CTOR,org.apache.commons.lang.math.LongRange,NO_FIELD,getMinimumNumber()Ljava/lang/Number;,167,167,0,0.0,0.0,0.4703400539165699,0.5815202151904569,Bx,org.apache.commons.lang.math,org.apache.commons.lang.math.LongRange,org.apache.commons.lang.math.LongRange.getMinimumNumber,0.17683731985694254,0.0018706627778336518,0.03686399419365543,0.0718573256094772,0.10685065702529897,0.14184398844112076,0.17683731985694254,0.2118306512727643,0.24682398268858607,0.28181731410440786,0.31681064552022964,0.3518039769360514,0.001087828221114603,0.02143715783627426,0.041786487451433915,0.06213581706659357,0.08248514668175323,0.10283447629691289,0.12318380591207254,0.14353313552723218,0.16388246514239185,0.1842317947575515,0.20458112437271117
M,P,DM_NUMBER_CTOR,org.apache.commons.lang.math.LongRange,NO_FIELD,getMaximumNumber()Ljava/lang/Number;,226,226,0,0.0,0.0,0.4703400539165699,0.5815202151904569,Bx,org.apache.commons.lang.math,org.apache.commons.lang.math.LongRange,org.apache.commons.lang.math.LongRange.getMaximumNumber,0.17683731985694254,0.0018706627778336518,0.03686399419365543,0.0718573256094772,0.10685065702529897,0.14184398844112076,0.17683731985694254,0.2118306512727643,0.24682398268858607,0.28181731410440786,0.31681064552022964,0.3518039769360514,0.001087828221114603,0.02143715783627426,0.041786487451433915,0.06213581706659357,0.08248514668175323,0.10283447629691289,0.12318380591207254,0.14353313552723218,0.16388246514239185,0.1842317947575515,0.20458112437271117
M,B,THROWS_METHOD_THROWS_RUNTIMEEXCEPTION,org.apache.commons.lang.time.StopWatch,NO_FIELD,getNanoTime()J,283,290,0,0.0,1.0,0.9945788321565764,1.0,THROWS,org.apache.commons.lang.time,org.apache.commons.lang.time.StopWatch,org.apache.commons.lang.time.StopWatch.getNanoTime,0.09578732106339469,0.001890777431358745,0.020670086157765933,0.03944939488417312,0.05822870361058031,0.07700801233698751,0.09578732106339469,0.11456662978980187,0.13334593851620904,0.15212524724261625,0.17090455596902343,0.18968386469543064,0.001890777431358745,0.020670086157765933,0.03944939488417312,0.05822870361058031,0.07700801233698751,0.09578732106339469,0.11456662978980187,0.13334593851620904,0.15212524724261625,0.17090455596902343,0.18968386469543064
M,V,EI_EXPOSE_REP,org.apache.commons.lang.builder.ToStringBuilder,buffer,getStringBuffer()Ljava/lang/StringBuffer;,1028,1028,0,0.0,1.0,0.9030953733551176,1.0,EI,org.apache.commons.lang.builder,org.apache.commons.lang.builder.ToStringBuilder,org.apache.commons.lang.builder.ToStringBuilder.getStringBuffer,0.07004299507190989,0.0030171980287639543,0.01642235743739314,0.029827516846022327,0.04323267625465151,0.056637835663280706,0.07004299507190989,0.08344815448053906,0.09685331388916825,0.11025847329779745,0.12366363270642663,0.13706879211505582,0.0030171980287639543,0.01642235743739314,0.029827516846022327,0.04323267625465151,0.056637835663280706,0.07004299507190989,0.08344815448053906,0.09685331388916825,0.11025847329779745,0.12366363270642663,0.13706879211505582
