EI_EXPOSE_REP2=>12
URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD=>8
NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE=>22
SIC_INNER_SHOULD_BE_STATIC_ANON=>1
SQL_PREPARED_STATEMENT_GENERATED_FROM_NONCONSTANT_STRING=>4
RV_RETURN_VALUE_IGNORED=>1
DM_INVALID_MIN_MAX=>2
THROWS_METHOD_THROWS_CLAUSE_BASIC_EXCEPTION=>22
SE_TRANSIENT_FIELD_NOT_RESTORED=>1
IS2_INCONSISTENT_SYNC=>3
UC_USELESS_VOID_METHOD=>1
EQ_COMPARETO_USE_OBJECT_EQUALS=>3
DCN_NULLPOINTER_EXCEPTION=>2
DM_DEFAULT_ENCODING=>2
NP_NULL_PARAM_DEREF=>1
EI_EXPOSE_REP=>7
REC_CATCH_EXCEPTION=>4
IL_INFINITE_RECURSIVE_LOOP=>1
UG_SYNC_SET_UNSYNC_GET=>3
SE_NO_SERIALVERSIONID=>4
NM_SAME_SIMPLE_NAME_AS_SUPERCLASS=>1
JUA_DONT_ASSERT_INSTANCEOF_IN_TESTS=>1
RCN_REDUNDANT_NULLCHECK_WOULD_HAVE_BEEN_A_NPE=>1
HE_EQUALS_USE_HASHCODE=>1
