priority1,priority2,type,package_name,field_name,method_name,startline,endline,label,s1,s2,s3,s4,addr,_package,_class,_method,rank_score,s4_rank
M,V,EI_EXPOSE_REP,hudson.tasks.junit.ClassResult,parent,getParent()Lhudson/tasks/junit/PackageResult;,69,69,0,0.0,1.0,0.7893661800685464,1.0,EI,hudson.tasks.junit,hudson.tasks.junit.ClassResult,hudson.tasks.junit.ClassResult.getParent,0.07408211255737104,0.07408211255737104
M,V,EI_EXPOSE_REP,hudson.tasks.junit.ClassResult,cases,getChildren()Ljava/util/List;,153,153,0,0.0,1.0,1.0,1.0,EI,hudson.tasks.junit,hudson.tasks.junit.ClassResult,hudson.tasks.junit.ClassResult.getChildren,0.07408211255737104,0.07408211255737104
M,V,EI_EXPOSE_REP2,hudson.tasks.junit.PackageResult,parent,<init>(Lhudson/tasks/junit/TestResult;Ljava/lang/String;)V,57,57,0,0.0,1.0,0.7799921558132097,0.9999999999999998,EI2,hudson.tasks.junit,hudson.tasks.junit.PackageResult,hudson.tasks.junit.PackageResult.<init>,0.07406510443345204,0.07406510443345203
M,V,EI_EXPOSE_REP2,hudson.tasks.junit.ClassResult,parent,<init>(Lhudson/tasks/junit/PackageResult;Ljava/lang/String;)V,59,59,0,0.0,1.0,0.7857579728148009,0.9999999999999998,EI2,hudson.tasks.junit,hudson.tasks.junit.ClassResult,hudson.tasks.junit.ClassResult.<init>,0.06711329157863885,0.06711329157863884
L,D,REC_CATCH_EXCEPTION,hudson.tasks.junit.pipeline.JUnitResultsStepExecution,NO_FIELD,run()Lhudson/tasks/junit/TestResultSummary;,62,62,0,0.0,1.0,1.0,1.0,REC,hudson.tasks.junit.pipeline,hudson.tasks.junit.pipeline.JUnitResultsStepExecution,hudson.tasks.junit.pipeline.JUnitResultsStepExecution.run,0.049596839330475505,0.049596839330475505
M,V,EI_EXPOSE_REP,hudson.tasks.junit.SuiteResult,parent,getParent()Lhudson/tasks/junit/TestResult;,397,397,0,0.0,1.0,0.7641667646055084,1.0,EI,hudson.tasks.junit,hudson.tasks.junit.SuiteResult,hudson.tasks.junit.SuiteResult.getParent,0.04944719788759602,0.04944719788759602
M,V,EI_EXPOSE_REP,hudson.tasks.junit.SuiteResult,cases,getCases()Ljava/util/List;,412,412,0,0.0,1.0,1.0,1.0,EI,hudson.tasks.junit,hudson.tasks.junit.SuiteResult,hudson.tasks.junit.SuiteResult.getCases,0.04944719788759602,0.04944719788759602
M,V,EI_EXPOSE_REP2,hudson.tasks.junit.SuiteResult,parent,setParent(Lhudson/tasks/junit/TestResult;)V,450,450,0,0.0,1.0,0.7799921558132097,0.9999999999999998,EI2,hudson.tasks.junit,hudson.tasks.junit.SuiteResult,hudson.tasks.junit.SuiteResult.setParent,0.04247837690886383,0.04247837690886382
M,V,EI_EXPOSE_REP2,hudson.tasks.junit.pipeline.JUnitResultsStepExecution,step,<init>(Lhudson/tasks/junit/pipeline/JUnitResultsStep;Lorg/jenkinsci/plugins/workflow/steps/StepContext;)V,31,31,0,0.0,1.0,0.7723135552556395,0.9999999999999998,EI2,hudson.tasks.junit.pipeline,hudson.tasks.junit.pipeline.JUnitResultsStepExecution,hudson.tasks.junit.pipeline.JUnitResultsStepExecution.<init>,0.02976051727961701,0.029760517279617003
M,B,THROWS_METHOD_THROWS_CLAUSE_BASIC_EXCEPTION,hudson.tasks.junit.pipeline.JUnitResultsStepExecution,NO_FIELD,run()Lhudson/tasks/junit/TestResultSummary;,36,65,0,0.0,0.0,0.0,0.0,THROWS,hudson.tasks.junit.pipeline,hudson.tasks.junit.pipeline.JUnitResultsStepExecution,hudson.tasks.junit.pipeline.JUnitResultsStepExecution.run,0.049596839330475505,0.0
M,B,THROWS_METHOD_THROWS_CLAUSE_BASIC_EXCEPTION,hudson.tasks.junit.pipeline.JUnitResultsStepExecution,NO_FIELD,run()Ljava/lang/Object;,25,25,0,-1.0,-1.0,-1.0,0.0,THROWS,hudson.tasks.junit.pipeline,hudson.tasks.junit.pipeline.JUnitResultsStepExecution,hudson.tasks.junit.pipeline.JUnitResultsStepExecution.run,0.049596839330475505,0.0
M,B,THROWS_METHOD_THROWS_CLAUSE_BASIC_EXCEPTION,hudson.tasks.junit.pipeline.JUnitResultsStep,NO_FIELD,start(Lorg/jenkinsci/plugins/workflow/steps/StepContext;)Lorg/jenkinsci/plugins/workflow/steps/StepExecution;,124,124,0,0.0,0.0,0.0,0.0,THROWS,hudson.tasks.junit.pipeline,hudson.tasks.junit.pipeline.JUnitResultsStep,hudson.tasks.junit.pipeline.JUnitResultsStep.start,0.007639892628536031,0.0
M,V,EI_EXPOSE_REP2,hudson.tasks.test.helper.AbstractPage,htmlPage,<init>(Lcom/gargoylesoftware/htmlunit/html/HtmlPage;)V,19,19,0,-1.0,-1.0,-1.0,0.0,EI2,hudson.tasks.test.helper,hudson.tasks.test.helper.AbstractPage,hudson.tasks.test.helper.AbstractPage.<init>,0.006762337394177163,0.0
L,B,SE_NO_SERIALVERSIONID,hudson.tasks.junit.JUnitParser$StorageParseResultCallable,NO_FIELD,NO_METHOD,174,188,0,-1.0,-1.0,-1.0,0.0,SnVI,hudson.tasks.junit,hudson.tasks.junit.JUnitParser,hudson.tasks.junit.JUnitParser$StorageParseResultCallable.NO_METHOD,0.14444850596554695,0.0
L,B,SE_NO_SERIALVERSIONID,hudson.tasks.junit.JUnitParser$DirectParseResultCallable,NO_FIELD,NO_METHOD,161,169,0,-1.0,-1.0,-1.0,0.0,SnVI,hudson.tasks.junit,hudson.tasks.junit.JUnitParser,hudson.tasks.junit.JUnitParser$DirectParseResultCallable.NO_METHOD,0.14444850596554695,0.0
L,V,MC_OVERRIDABLE_METHOD_CALL_IN_CONSTRUCTOR,hudson.tasks.test.SimpleCaseResult,NO_FIELD,<init>(F)V,48,48,0,-1.0,-1.0,-1.0,0.0,MC,hudson.tasks.test,hudson.tasks.test.SimpleCaseResult,hudson.tasks.test.SimpleCaseResult.<init>,0.04878174685112534,0.0
L,B,SE_NO_SERIALVERSIONID,hudson.tasks.test.SimpleCaseResult,NO_FIELD,NO_METHOD,41,209,0,-1.0,-1.0,-1.0,0.0,SnVI,hudson.tasks.test,hudson.tasks.test.SimpleCaseResult,hudson.tasks.test.SimpleCaseResult.NO_METHOD,0.055750567829857524,0.0
M,V,EI_EXPOSE_REP,hudson.tasks.test.SimpleCaseResult,listOnlyContainingThisObject,getPassedTests()Ljava/util/Collection;,101,101,0,-1.0,-1.0,-1.0,0.0,EI,hudson.tasks.test,hudson.tasks.test.SimpleCaseResult,hudson.tasks.test.SimpleCaseResult.getPassedTests,0.04878174685112534,0.0
M,V,EI_EXPOSE_REP,hudson.tasks.test.SimpleCaseResult,parentAction,getParentAction()Lhudson/tasks/test/AbstractTestResultAction;,67,67,0,-1.0,-1.0,-1.0,0.0,EI,hudson.tasks.test,hudson.tasks.test.SimpleCaseResult,hudson.tasks.test.SimpleCaseResult.getParentAction,0.04878174685112534,0.0
M,V,EI_EXPOSE_REP2,hudson.tasks.test.SimpleCaseResult,parentAction,setParentAction(Lhudson/tasks/test/AbstractTestResultAction;)V,62,62,0,-1.0,-1.0,-1.0,0.0,EI2,hudson.tasks.test,hudson.tasks.test.SimpleCaseResult,hudson.tasks.test.SimpleCaseResult.setParentAction,0.04878174685112534,0.0
L,D,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,hudson.tasks.junit.SuiteResult$SuiteResultParserConfigurationContext,xmlReport,NO_METHOD,151,151,0,-1.0,-1.0,-1.0,0.0,UrF,hudson.tasks.junit,hudson.tasks.junit.SuiteResult,hudson.tasks.junit.SuiteResult$SuiteResultParserConfigurationContext.NO_METHOD,0.04944719788759602,0.0
