priority1,priority2,type,package_name,field_name,method_name,startline,endline,label,s1,s2,s3,s4,addr,_package,_class,_method,rank_score,s4_rank
M,V,EI_EXPOSE_REP2,org.jmeld.model.LevenshteinTableModel,filePanels,setFilePanels([Lorg/jmeld/ui/FilePanel;)V,314,314,0,0.0,1.0,0.8768428745775958,1.0,EI2,org.jmeld.model,org.jmeld.model.LevenshteinTableModel,org.jmeld.model.LevenshteinTableModel.setFilePanels,0.0006959049857726092,0.0006959049857726092
L,V,MC_OVERRIDABLE_METHOD_CALL_IN_CONSTRUCTOR,org.jmeld.ui.ListScrollSynchronizer,NO_FIELD,<init>(Ljavax/swing/JScrollPane;Ljavax/swing/JScrollPane;)V,34,34,0,0.0,0.0,0.2242314519283179,0.4140635178596529,MC,org.jmeld.ui,org.jmeld.ui.ListScrollSynchronizer,org.jmeld.ui.ListScrollSynchronizer.<init>,0.0013918099715452183,0.0005762977330101565
L,V,MC_OVERRIDABLE_METHOD_CALL_IN_CONSTRUCTOR,org.jmeld.ui.FolderDiffForm,NO_FIELD,<init>()V,27,27,0,0.0,0.0,0.5157727822848734,0.7071067811865482,MC,org.jmeld.ui,org.jmeld.ui.FolderDiffForm,org.jmeld.ui.FolderDiffForm.<init>,0.0008041568724483484,0.0005686247776459933
L,V,MC_OVERRIDABLE_METHOD_CALL_IN_CONSTRUCTOR,org.jmeld.ui.swing.table.JMTable,NO_FIELD,<init>()V,27,27,0,0.0,0.0,0.22084093851874384,0.3755286985701987,MC,org.jmeld.ui.swing.table,org.jmeld.ui.swing.table.JMTable,org.jmeld.ui.swing.table.JMTable.<init>,0.0013918099715452183,0.0005226645872714012
L,P,SIC_INNER_SHOULD_BE_STATIC_ANON,org.jmeld.ui.settings.SettingsPanelForm,NO_FIELD,initComponents()V,49,49,0,0.0,0.0,0.19574035414518973,0.29015529026465503,SIC,org.jmeld.ui.settings,org.jmeld.ui.settings.SettingsPanelForm,org.jmeld.ui.settings.SettingsPanelForm.initComponents,0.0013918099715452183,0.0004038410262869441
M,V,EI_EXPOSE_REP2,org.jmeld.ui.JMeldPanel,currentBarDialog,activateBarDialog(Lorg/jmeld/ui/AbstractBarDialog;)V,891,891,0,0.0,0.0,0.047027332999807714,0.025853968358338014,EI2,org.jmeld.ui,org.jmeld.ui.JMeldPanel,org.jmeld.ui.JMeldPanel.activateBarDialog,0.007670419398738092,0.00019831078043015674
L,D,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,org.jmeld.ui.text.AbstractBufferDocument,content,createDigest()I,473,473,0,0.0,0.0,0.0,0.027601693211438967,UwF,org.jmeld.ui.text,org.jmeld.ui.text.AbstractBufferDocument,org.jmeld.ui.text.AbstractBufferDocument.createDigest,0.004175429914635655,0.00011524893552963815
M,V,EI_EXPOSE_REP2,org.jmeld.ui.FilePanel,bufferDocument,setBufferDocument(Lorg/jmeld/ui/text/BufferDocumentIF;)V,169,169,0,0.0,0.0,0.047027332999807714,0.025853968358338014,EI2,org.jmeld.ui,org.jmeld.ui.FilePanel,org.jmeld.ui.FilePanel.setBufferDocument,0.00398985525176296,0.00010315359143342832
L,P,SIC_INNER_SHOULD_BE_STATIC_ANON,org.jmeld.ui.FilePanel,NO_FIELD,getFileBoxAction()Ljava/awt/event/ActionListener;,517,517,0,0.0,0.0,0.0,0.025664536389114933,SIC,org.jmeld.ui,org.jmeld.ui.FilePanel,org.jmeld.ui.FilePanel.getFileBoxAction,0.00398985525176296,0.0001023977852961718
M,V,EI_EXPOSE_REP2,org.jmeld.ui.swing.JMHighlighter,component,install(Ljavax/swing/text/JTextComponent;)V,129,129,0,0.0,0.0,0.047027332999807714,0.025853968358338014,EI2,org.jmeld.ui.swing,org.jmeld.ui.swing.JMHighlighter,org.jmeld.ui.swing.JMHighlighter.install,0.003479524928863046,8.995952741287352e-05
L,D,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,org.jmeld.vc.svn.DiffCmd,reader,readLine()Ljava/lang/String;,175,175,0,0.0,0.0,0.0,0.027601693211438967,UwF,org.jmeld.vc.svn,org.jmeld.vc.svn.DiffCmd,org.jmeld.vc.svn.DiffCmd.readLine,0.0027836199430904367,7.683262368642543e-05
L,D,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,org.eclipse.compare.rangedifferencer.RangeComparatorLCS,lcs,getDifferences()[Lorg/eclipse/compare/rangedifferencer/RangeDifference;,85,85,0,0.0,0.0,0.0019870518442173736,0.01949636269865402,UwF,org.eclipse.compare.rangedifferencer,org.eclipse.compare.rangedifferencer.RangeComparatorLCS,org.eclipse.compare.rangedifferencer.RangeComparatorLCS.getDifferences,0.0020877149573178275,4.070284801927336e-05
H,V,MS_SHOULD_BE_FINAL,org.jmeld.ui.action.MeldAction,LARGE_ICON_KEY,NO_METHOD,31,31,0,0.0,0.0,0.0,0.0,MS,org.jmeld.ui.action,org.jmeld.ui.action.MeldAction,org.jmeld.ui.action.MeldAction.NO_METHOD,0.00717555363107757,0.0
M,B,NM_VERY_CONFUSING_INTENTIONAL,org.jmeld.ui.BufferDiffPanel,NO_FIELD,doGotoLine(I)V,959,987,0,0.0,0.0,0.0,0.0,Nm,org.jmeld.ui,org.jmeld.ui.BufferDiffPanel,org.jmeld.ui.BufferDiffPanel.doGotoLine,0.0275020668500812,0.0
H,V,MS_SHOULD_BE_FINAL,org.jmeld.ui.util.FontUtil,defaultTextAreaFont,NO_METHOD,8,8,0,0.0,0.0,0.0,0.0,MS,org.jmeld.ui.util,org.jmeld.ui.util.FontUtil,org.jmeld.ui.util.FontUtil.NO_METHOD,0.0013918099715452183,0.0
M,V,MS_SHOULD_BE_FINAL,org.jmeld.util.DiffUtil,debug,NO_METHOD,26,26,0,0.0,0.0,0.0,0.0,MS,org.jmeld.util,org.jmeld.util.DiffUtil,org.jmeld.util.DiffUtil.NO_METHOD,0.0013918099715452183,0.0
M,B,NM_METHOD_NAMING_CONVENTION,org.apache.commons.jrcs.diff.AddDelta,NO_FIELD,Accept(Lorg/apache/commons/jrcs/diff/RevisionVisitor;)V,118,119,0,0.0,0.0,0.0,0.0,Nm,org.apache.commons.jrcs.diff,org.apache.commons.jrcs.diff.AddDelta,org.apache.commons.jrcs.diff.AddDelta.Accept,0.0027836199430904367,0.0
L,B,NM_CONFUSING,org.apache.commons.jrcs.diff.AddDelta,NO_FIELD,Accept(Lorg/apache/commons/jrcs/diff/RevisionVisitor;)V,118,119,0,0.0,0.0,0.0,0.0,Nm,org.apache.commons.jrcs.diff,org.apache.commons.jrcs.diff.AddDelta,org.apache.commons.jrcs.diff.AddDelta.Accept,0.0027836199430904367,0.0
M,D,DLS_DEAD_LOCAL_STORE,org.jmeld.ui.search.SearchBarDialog$2,NO_FIELD,actionPerformed(Ljava/awt/event/ActionEvent;)V,174,174,0,-1.0,-1.0,-1.0,0.0,DLS,org.jmeld.ui.search,org.jmeld.ui.search.SearchBarDialog,org.jmeld.ui.search.SearchBarDialog$2.actionPerformed,0.0013918099715452183,0.0
M,M,IS2_INCONSISTENT_SYNC,org.apache.jmeld.tools.ant.DirectoryScanner,illegal,NO_METHOD,654,654,0,0.0,0.0,0.0,0.0,IS,org.apache.jmeld.tools.ant,org.apache.jmeld.tools.ant.DirectoryScanner,org.apache.jmeld.tools.ant.DirectoryScanner.NO_METHOD,0.011134479772361747,0.0
M,M,IS2_INCONSISTENT_SYNC,org.jdesktop.swingworker.SwingWorker,doProcess,NO_METHOD,402,402,0,0.0,0.0,0.0,0.0,IS,org.jdesktop.swingworker,org.jdesktop.swingworker.SwingWorker,org.jdesktop.swingworker.SwingWorker.NO_METHOD,0.005567239886180873,0.0
L,D,SA_FIELD_DOUBLE_ASSIGNMENT,org.jmeld.ui.ScrollSynchronizer$1,insideScroll,adjustmentValueChanged(Ljava/awt/event/AdjustmentEvent;)V,382,382,0,-1.0,-1.0,-1.0,0.0,SA,org.jmeld.ui,org.jmeld.ui.ScrollSynchronizer,org.jmeld.ui.ScrollSynchronizer$1.adjustmentValueChanged,0.004871334900408264,0.0
M,D,NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,org.jmeld.vc.git.StatusCmd,NO_FIELD,execute()Lorg/jmeld/util/Result;,50,50,0,0.0,0.0,0.0,0.0,NP,org.jmeld.vc.git,org.jmeld.vc.git.StatusCmd,org.jmeld.vc.git.StatusCmd.execute,0.10704307394119346,0.0
M,D,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,org.jmeld.ui.RevisionBar$1,NO_FIELD,mouseClicked(Ljava/awt/event/MouseEvent;)V,75,75,0,-1.0,-1.0,-1.0,0.0,RCN,org.jmeld.ui,org.jmeld.ui.RevisionBar,org.jmeld.ui.RevisionBar$1.mouseClicked,0.004175429914635655,0.0
M,P,URF_UNREAD_FIELD,org.jmeld.util.prefs.ComboBoxSelectionPreference,maxItems,NO_METHOD,33,33,0,0.0,0.0,0.0,0.0,UrF,org.jmeld.util.prefs,org.jmeld.util.prefs.ComboBoxSelectionPreference,org.jmeld.util.prefs.ComboBoxSelectionPreference.NO_METHOD,0.0020877149573178275,0.0
H,P,DM_BOXED_PRIMITIVE_FOR_PARSING,org.jmeld.vc.svn.DiffCmd,NO_FIELD,readDelta()Lorg/jmeld/diff/JMDelta;,125,125,0,0.0,0.0,0.0,0.0,Bx,org.jmeld.vc.svn,org.jmeld.vc.svn.DiffCmd,org.jmeld.vc.svn.DiffCmd.readDelta,0.0027836199430904367,0.0
M,B,THROWS_METHOD_THROWS_CLAUSE_BASIC_EXCEPTION,org.jmeld.util.file.cmd.RemoveFileCmd$ResetCommand,NO_FIELD,execute()V,108,109,0,-1.0,-1.0,-1.0,0.0,THROWS,org.jmeld.util.file.cmd,org.jmeld.util.file.cmd.RemoveFileCmd,org.jmeld.util.file.cmd.RemoveFileCmd$ResetCommand.execute,0.007654954843498701,0.0
M,P,SIC_INNER_SHOULD_BE_STATIC,org.jmeld.util.JaxbPersister$Context,NO_FIELD,NO_METHOD,105,132,0,-1.0,-1.0,-1.0,0.0,SIC,org.jmeld.util,org.jmeld.util.JaxbPersister,org.jmeld.util.JaxbPersister$Context.NO_METHOD,0.004175429914635655,0.0
M,P,SIC_INNER_SHOULD_BE_STATIC,org.jmeld.ui.swing.table.JMTableModel$Column,NO_FIELD,NO_METHOD,151,223,0,-1.0,-1.0,-1.0,0.0,SIC,org.jmeld.ui.swing.table,org.jmeld.ui.swing.table.JMTableModel,org.jmeld.ui.swing.table.JMTableModel$Column.NO_METHOD,0.0020877149573178275,0.0
M,P,URF_UNREAD_FIELD,org.jmeld.vc.git.TagCmd,file,NO_METHOD,13,13,0,0.0,0.0,0.0,0.0,UrF,org.jmeld.vc.git,org.jmeld.vc.git.TagCmd,org.jmeld.vc.git.TagCmd.NO_METHOD,0.0012062353086725226,0.0
M,P,SIC_INNER_SHOULD_BE_STATIC,org.jmeld.vc.StatusResult$Entry,NO_FIELD,NO_METHOD,38,72,0,-1.0,-1.0,-1.0,0.0,SIC,org.jmeld.vc,org.jmeld.vc.StatusResult,org.jmeld.vc.StatusResult$Entry.NO_METHOD,0.2792217656141494,0.0
M,P,SIC_INNER_SHOULD_BE_STATIC,org.jmeld.ui.swing.table.JMTreeTableModel$Column,NO_FIELD,NO_METHOD,106,166,0,-1.0,-1.0,-1.0,0.0,SIC,org.jmeld.ui.swing.table,org.jmeld.ui.swing.table.JMTreeTableModel,org.jmeld.ui.swing.table.JMTreeTableModel$Column.NO_METHOD,0.0020877149573178275,0.0
M,P,SIC_INNER_SHOULD_BE_STATIC,org.jmeld.diff.EclipseDiff$RangeComparator,NO_FIELD,NO_METHOD,71,110,0,-1.0,-1.0,-1.0,0.0,SIC,org.jmeld.diff,org.jmeld.diff.EclipseDiff,org.jmeld.diff.EclipseDiff$RangeComparator.NO_METHOD,0.0020877149573178275,0.0
M,P,SIC_INNER_SHOULD_BE_STATIC,org.jmeld.ui.swing.JMHighlighter$HighlightInfo,NO_FIELD,NO_METHOD,254,269,0,-1.0,-1.0,-1.0,0.0,SIC,org.jmeld.ui.swing,org.jmeld.ui.swing.JMHighlighter,org.jmeld.ui.swing.JMHighlighter$HighlightInfo.NO_METHOD,0.003479524928863046,0.0
M,P,SIC_INNER_SHOULD_BE_STATIC,org.jmeld.model.LevenshteinTableModel$ColorPoint,NO_FIELD,NO_METHOD,94,97,0,-1.0,-1.0,-1.0,0.0,SIC,org.jmeld.model,org.jmeld.model.LevenshteinTableModel,org.jmeld.model.LevenshteinTableModel$ColorPoint.NO_METHOD,0.0006959049857726092,0.0
M,P,URF_UNREAD_FIELD,org.jmeld.ui.FolderDiffTreeTableModel,sepColumn,NO_METHOD,42,42,0,0.0,0.0,0.0,0.0,UrF,org.jmeld.ui,org.jmeld.ui.FolderDiffTreeTableModel,org.jmeld.ui.FolderDiffTreeTableModel.NO_METHOD,0.0013918099715452183,0.0
M,P,SIC_INNER_SHOULD_BE_STATIC,org.jmeld.ui.VersionControlFolderDiffPanel$BlockComboListener,NO_FIELD,NO_METHOD,96,110,0,-1.0,-1.0,-1.0,0.0,SIC,org.jmeld.ui,org.jmeld.ui.VersionControlFolderDiffPanel,org.jmeld.ui.VersionControlFolderDiffPanel$BlockComboListener.NO_METHOD,0.008133102173062585,0.0
M,P,SIC_INNER_SHOULD_BE_STATIC,org.jmeld.ui.action.Actions$Action,NO_FIELD,NO_METHOD,50,62,0,-1.0,-1.0,-1.0,0.0,SIC,org.jmeld.ui.action,org.jmeld.ui.action.Actions,org.jmeld.ui.action.Actions$Action.NO_METHOD,0.34583625441598964,0.0
M,B,THROWS_METHOD_THROWS_CLAUSE_BASIC_EXCEPTION,org.jmeld.ui.VersionControlComparison,NO_FIELD,doInBackground()Ljava/lang/Object;,18,18,0,-1.0,-1.0,-1.0,0.0,THROWS,org.jmeld.ui,org.jmeld.ui.VersionControlComparison,org.jmeld.ui.VersionControlComparison.doInBackground,0.0009897315353210442,0.0
M,P,URF_UNREAD_FIELD,org.jmeld.vc.hg.ActiveCmd,file,NO_METHOD,16,16,0,0.0,0.0,0.0,0.0,UrF,org.jmeld.vc.hg,org.jmeld.vc.hg.ActiveCmd,org.jmeld.vc.hg.ActiveCmd.NO_METHOD,0.0013918099715452183,0.0
M,P,URF_UNREAD_FIELD,org.jmeld.util.file.FolderDiff,mode,NO_METHOD,38,38,0,0.0,0.0,0.0,0.0,UrF,org.jmeld.util.file,org.jmeld.util.file.FolderDiff,org.jmeld.util.file.FolderDiff.NO_METHOD,0.0013918099715452183,0.0
M,P,SIC_INNER_SHOULD_BE_STATIC,org.jmeld.ui.help.HelpPanel$HelpURI,NO_FIELD,NO_METHOD,52,64,0,-1.0,-1.0,-1.0,0.0,SIC,org.jmeld.ui.help,org.jmeld.ui.help.HelpPanel,org.jmeld.ui.help.HelpPanel$HelpURI.NO_METHOD,0.0020877149573178275,0.0
M,P,URF_UNREAD_FIELD,org.jmeld.vc.git.BranchCmd,file,NO_METHOD,13,13,0,0.0,0.0,0.0,0.0,UrF,org.jmeld.vc.git,org.jmeld.vc.git.BranchCmd,org.jmeld.vc.git.BranchCmd.NO_METHOD,0.0012062353086725226,0.0
M,P,SIC_INNER_SHOULD_BE_STATIC,org.jmeld.ui.BufferDiffPanel$Zoom,NO_FIELD,NO_METHOD,1083,1083,0,-1.0,-1.0,-1.0,0.0,SIC,org.jmeld.ui,org.jmeld.ui.BufferDiffPanel,org.jmeld.ui.BufferDiffPanel$Zoom.NO_METHOD,0.0275020668500812,0.0
M,P,SIC_INNER_SHOULD_BE_STATIC,org.jmeld.ui.VersionControlFolderDiffPanel$ComboBoxRenderer,NO_FIELD,NO_METHOD,65,89,0,-1.0,-1.0,-1.0,0.0,SIC,org.jmeld.ui,org.jmeld.ui.VersionControlFolderDiffPanel,org.jmeld.ui.VersionControlFolderDiffPanel$ComboBoxRenderer.NO_METHOD,0.008133102173062585,0.0
L,D,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,org.jmeld.ui.swing.JMHighlighter$HighlightInfo,p0,getStartOffset()I,261,261,0,-1.0,-1.0,-1.0,0.0,UwF,org.jmeld.ui.swing,org.jmeld.ui.swing.JMHighlighter,org.jmeld.ui.swing.JMHighlighter$HighlightInfo.getStartOffset,0.003479524928863046,0.0
L,D,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,org.jmeld.ui.swing.JMHighlighter$HighlightInfo,p1,getEndOffset()I,265,265,0,-1.0,-1.0,-1.0,0.0,UwF,org.jmeld.ui.swing,org.jmeld.ui.swing.JMHighlighter,org.jmeld.ui.swing.JMHighlighter$HighlightInfo.getEndOffset,0.003479524928863046,0.0
M,P,SIC_INNER_SHOULD_BE_STATIC,org.jmeld.diff.JMDiff$JMString,NO_FIELD,NO_METHOD,268,288,0,-1.0,-1.0,-1.0,0.0,SIC,org.jmeld.diff,org.jmeld.diff.JMDiff,org.jmeld.diff.JMDiff$JMString.NO_METHOD,0.0027836199430904367,0.0
L,D,DB_DUPLICATE_SWITCH_CLAUSES,org.jmeld.vc.git.StatusCmd,NO_FIELD,build([B)V,126,127,0,0.0,0.0,0.0,0.0,DB,org.jmeld.vc.git,org.jmeld.vc.git.StatusCmd,org.jmeld.vc.git.StatusCmd.build,0.2550297707849687,0.0
M,P,URF_UNREAD_FIELD,org.jmeld.vc.git.LogCmd,file,NO_METHOD,15,15,0,0.0,0.0,0.0,0.0,UrF,org.jmeld.vc.git,org.jmeld.vc.git.LogCmd,org.jmeld.vc.git.LogCmd.NO_METHOD,0.0012062353086725226,0.0
M,B,THROWS_METHOD_THROWS_CLAUSE_BASIC_EXCEPTION,org.jmeld.util.node.JMDiffNode,NO_FIELD,getRemoveRightCmd()Lorg/jmeld/util/file/cmd/AbstractCmd;,216,221,0,0.0,0.0,0.0,0.0,THROWS,org.jmeld.util.node,org.jmeld.util.node.JMDiffNode,org.jmeld.util.node.JMDiffNode.getRemoveRightCmd,0.005567239886180873,0.0
L,M,LI_LAZY_INIT_STATIC,org.jmeld.ui.util.LookAndFeelManager,instance,getInstance()Lorg/jmeld/ui/util/LookAndFeelManager;,24,25,0,0.0,0.0,0.0,0.0,LI,org.jmeld.ui.util,org.jmeld.ui.util.LookAndFeelManager,org.jmeld.ui.util.LookAndFeelManager.getInstance,0.0020877149573178275,0.0
M,X,OBL_UNSATISFIED_OBLIGATION,org.jmeld.util.JaxbPersister,NO_FIELD,load(Ljava/lang/Class;Ljava/io/File;)Ljava/lang/Object;,30,30,0,0.0,0.0,0.0,0.0,OBL,org.jmeld.util,org.jmeld.util.JaxbPersister,org.jmeld.util.JaxbPersister.load,0.004175429914635655,0.0
M,X,OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,org.jmeld.util.file.FileUtil,NO_FIELD,copy2(Ljava/io/File;Ljava/io/File;)V,48,48,0,0.0,0.0,0.0,0.0,OBL,org.jmeld.util.file,org.jmeld.util.file.FileUtil,org.jmeld.util.file.FileUtil.copy2,0.005567239886180873,0.0
M,X,OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,org.jmeld.util.file.FileUtil,NO_FIELD,copy2(Ljava/io/File;Ljava/io/File;)V,47,47,0,0.0,0.0,0.0,0.0,OBL,org.jmeld.util.file,org.jmeld.util.file.FileUtil,org.jmeld.util.file.FileUtil.copy2,0.005567239886180873,0.0
M,B,VA_FORMAT_STRING_USES_NEWLINE,org.jmeld.ui.text.AbstractBufferDocument$Line,NO_FIELD,print()V,386,386,0,-1.0,-1.0,-1.0,0.0,FS,org.jmeld.ui.text,org.jmeld.ui.text.AbstractBufferDocument,org.jmeld.ui.text.AbstractBufferDocument$Line.print,0.004175429914635655,0.0
H,B,HE_EQUALS_USE_HASHCODE,org.jmeld.diff.JMChunk,NO_FIELD,equals(Ljava/lang/Object;)Z,54,61,0,-1.0,-1.0,-1.0,0.0,HE,org.jmeld.diff,org.jmeld.diff.JMChunk,org.jmeld.diff.JMChunk.equals,0.0013918099715452183,0.0
H,B,HE_EQUALS_USE_HASHCODE,org.jmeld.ui.search.SearchHit,NO_FIELD,equals(Ljava/lang/Object;)Z,58,65,0,-1.0,-1.0,-1.0,0.0,HE,org.jmeld.ui.search,org.jmeld.ui.search.SearchHit,org.jmeld.ui.search.SearchHit.equals,0.0013918099715452183,0.0
H,P,DM_BOXED_PRIMITIVE_FOR_PARSING,org.jmeld.ui.bar.LineNumberBarDialog$1,NO_FIELD,keyReleased(Ljava/awt/event/KeyEvent;)V,70,70,0,-1.0,-1.0,-1.0,0.0,Bx,org.jmeld.ui.bar,org.jmeld.ui.bar.LineNumberBarDialog,org.jmeld.ui.bar.LineNumberBarDialog$1.keyReleased,0.0013918099715452183,0.0
