,method,sum,tp_sum,P@5,P@10,P@15,P@20,P@25,P@30,P@35,P@40,P@45,P@50,MAP,MRR,Fitness,Kendell,AUC
0,we_list_ORI,334,7,0.0,0.0,0.0,10.0,8.0,10.0,8.571428571428571,7.5,8.88888888888889,8.0,0.06897041632244974,0.18782316534207938,0.28120411553156105,0.011184837532142921,0.7234816082121471
1,we_list_A,334,7,60.0,40.0,26.666666666666668,30.0,24.0,20.0,17.142857142857142,15.0,13.333333333333334,12.0,0.5419284025667005,1.9697061803444784,0.32987319675031074,0.006383629138120156,0.8374679213002566
2,we_list_B,334,7,40.0,30.0,20.0,20.0,16.0,13.333333333333334,14.285714285714285,12.5,11.11111111111111,10.0,0.34970736195856306,1.4836950140913765,0.3158332522723295,0.00740860621100142,0.8130881094952951
3,baseline_ad1,334,7,60.0,30.0,33.33333333333333,25.0,24.0,23.333333333333332,20.0,17.5,15.555555555555555,14.000000000000002,0.6174658674658674,2.091491841491841,0.4799925524890069,0.0008811206415996834,0.9683490162532079
4,baseline_ad2,334,7,20.0,30.0,26.666666666666668,20.0,16.0,16.666666666666664,14.285714285714285,12.5,11.11111111111111,12.0,0.24583987441130298,0.8689407814407815,0.4298042433085323,0.0033446620272967577,0.9099657827202738
5,random,334,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.2222222222222223,2.0,0.02054626879846034,0.05793632664897233,0.1723926186307964,0.02540864217510924,0.385158254918734
6,baseline_ORI,334,7,20.0,10.0,6.666666666666667,5.0,4.0,3.3333333333333335,2.857142857142857,2.5,2.2222222222222223,2.0,0.15868735352791236,1.0277108885306212,0.1927919255147563,0.02512092931254608,0.3917878528656972
