,method,sum,tp_sum,P@5,P@10,P@15,P@20,P@25,P@30,P@35,P@40,P@45,P@50,MAP,MRR,Fitness,Kendell,AUC
0,we_list_ORI,229,21,20.0,10.0,6.666666666666667,10.0,8.0,6.666666666666667,11.428571428571429,10.0,8.88888888888889,8.0,0.1052443640030553,0.5931908249768384,0.11680920268755117,0.08722132843024592,0.4806612601372427
1,we_list_A,229,21,80.0,70.0,53.333333333333336,45.0,40.0,33.33333333333333,31.428571428571427,27.500000000000004,24.444444444444443,22.0,0.43999980012955886,2.7678014495010563,0.11136589899462032,0.0719374856354861,0.5635267207319608
2,we_list_B,229,21,0.0,0.0,6.666666666666667,5.0,16.0,13.333333333333334,11.428571428571429,12.5,11.11111111111111,10.0,0.09932877156010367,0.3629546225451999,0.09907533873292025,0.08699149620776833,0.48190892077354963
3,baseline_ad1,229,21,0.0,10.0,33.33333333333333,40.0,40.0,33.33333333333333,31.428571428571427,27.500000000000004,26.666666666666668,26.0,0.26529998480444666,0.8423587697890977,0.3077931200280341,0.03156362522025588,0.7828030775629028
4,baseline_ad2,229,21,20.0,10.0,6.666666666666667,10.0,8.0,6.666666666666667,8.571428571428571,10.0,11.11111111111111,10.0,0.10829112530122253,0.604681146498074,0.10231162937728489,0.08595725120661916,0.48752339363693087
5,random,229,21,40.0,20.0,20.0,20.0,20.0,16.666666666666664,14.285714285714285,12.5,13.333333333333334,12.0,0.16169166569832857,1.0754475844277662,0.1284744741369079,0.0737378380448939,0.5538573508005822
6,baseline_ORI,229,21,20.0,20.0,13.333333333333334,10.0,8.0,6.666666666666667,8.571428571428571,7.5,6.666666666666667,8.0,0.14960240898207153,1.3229504075940615,0.13823854814961983,0.07887075768022676,0.5258889582033687
