,method,sum,tp_sum,P@5,P@10,P@15,P@20,P@25,P@30,P@35,P@40,P@45,P@50,MAP,MRR,Fitness,Kendell,AUC
0,we_list_ORI,229,22,20.0,10.0,6.666666666666667,10.0,8.0,6.666666666666667,11.428571428571429,12.5,11.11111111111111,10.0,0.11293823079843138,0.6202178520038653,0.116431402471308,0.0877959089864399,0.4970226280269948
1,we_list_A,229,22,100.0,80.0,60.0,50.0,44.0,36.666666666666664,34.285714285714285,30.0,26.666666666666668,24.0,0.4965665417676572,2.9678014495010565,0.11158134270437177,0.07128629433846626,0.582473203652243
2,we_list_B,229,22,0.0,0.0,6.666666666666667,5.0,16.0,13.333333333333334,11.428571428571429,12.5,11.11111111111111,10.0,0.10374806925995785,0.3753003015575455,0.09797786095088684,0.0892515130621313,0.48947995236204844
3,baseline_ad1,229,22,0.0,10.0,33.33333333333333,45.0,44.0,36.666666666666664,34.285714285714285,30.0,28.888888888888886,28.000000000000004,0.28819677654412534,0.9011822992008625,0.308052879273212,0.03137209836819122,0.7894005557761016
4,baseline_ad2,229,22,20.0,10.0,6.666666666666667,10.0,8.0,6.666666666666667,8.571428571428571,10.0,11.11111111111111,10.0,0.11185660149372766,0.6157922576091851,0.10107559650083947,0.08856201639469853,0.49305279872965463
5,random,229,22,20.0,20.0,20.0,15.0,16.0,16.666666666666664,14.285714285714285,12.5,15.555555555555555,20.0,0.16132731858039473,0.8076465702132344,0.14285456351560705,0.06699609285221789,0.6048034934497818
6,baseline_ORI,229,22,20.0,20.0,13.333333333333334,10.0,8.0,6.666666666666667,8.571428571428571,7.5,6.666666666666667,8.0,0.15208487799462836,1.3348551694988233,0.13712291436371155,0.08124569064582854,0.5308654227868201
