,method,sum,tp_sum,P@5,P@10,P@15,P@20,P@25,P@30,P@35,P@40,P@45,P@50,MAP,MRR,Fitness,Kendell,AUC
0,we_list_ORI,145,3,0.0,0.0,0.0,0.0,4.0,3.3333333333333335,2.857142857142857,2.5,2.2222222222222223,2.0,0.03581329963361351,0.06988038558749192,0.33337495279509544,0.017049808429118775,0.5804597701149425
1,we_list_A,145,3,0.0,20.0,13.333333333333334,10.0,8.0,6.666666666666667,5.714285714285714,5.0,4.444444444444445,4.0,0.16897546897546897,0.3277056277056277,0.42817860300618926,0.005938697318007663,0.8471264367816091
2,we_list_B,145,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.2222222222222223,2.0,0.02559055480403795,0.0473538911741159,0.30458816890834833,0.02203065134099617,0.460919540229885
3,baseline_ad1,145,3,0.0,0.0,0.0,15.0,12.0,10.0,8.571428571428571,7.5,6.666666666666667,6.0,0.11050194931773878,0.17068713450292397,0.4582183908045977,0.00450191570881226,0.8816091954022989
4,baseline_ad2,145,3,0.0,0.0,6.666666666666667,5.0,4.0,3.3333333333333335,2.857142857142857,2.5,2.2222222222222223,2.0,0.045423023578363385,0.09899445214979194,0.33992258571568895,0.01599616858237548,0.6057471264367815
5,random,145,3,0.0,0.0,0.0,0.0,4.0,3.3333333333333335,2.857142857142857,2.5,2.2222222222222223,2.0,0.033593807322620885,0.06954655513977548,0.292683647200054,0.020593869731800767,0.4954022988505746
6,baseline_ORI,145,3,0.0,0.0,0.0,5.0,8.0,6.666666666666667,5.714285714285714,5.0,4.444444444444445,4.0,0.06764346764346764,0.11684981684981685,0.4167287677321383,0.008333333333333333,0.7896551724137931
