,method,sum,tp_sum,P@5,P@10,P@15,P@20,P@25,P@30,P@35,P@40,P@45,P@50,MAP,MRR,Fitness,Kendell,AUC
0,we_list_ORI,148,6,0.0,0.0,0.0,0.0,4.0,3.3333333333333335,2.857142857142857,2.5,2.2222222222222223,2.0,0.04540510716981305,0.1047154488330959,0.2604978679303003,0.0396212539069682,0.49436936936936937
1,we_list_A,148,6,0.0,30.0,26.666666666666668,20.0,20.0,16.666666666666664,14.285714285714285,12.5,11.11111111111111,10.0,0.24352204309100858,0.570452057521023,0.410628735299788,0.00864129435558007,0.8738738738738739
2,we_list_B,148,6,0.0,0.0,0.0,0.0,12.0,10.0,8.571428571428571,7.5,8.88888888888889,8.0,0.07741136213807125,0.1786448975389569,0.2807132606349001,0.028130170987313845,0.6351351351351351
3,baseline_ad1,148,6,0.0,0.0,0.0,15.0,20.0,16.666666666666664,17.142857142857142,15.0,13.333333333333334,12.0,0.15447889046287214,0.2930344429915368,0.42891237229472523,0.009928295642581356,0.8581081081081081
4,baseline_ad2,148,6,0.0,0.0,6.666666666666667,5.0,4.0,3.3333333333333335,2.857142857142857,10.0,8.88888888888889,8.0,0.0781004264752821,0.1975355273078421,0.2960205200409319,0.02574002574002574,0.6644144144144144
5,random,148,6,0.0,0.0,0.0,5.0,4.0,6.666666666666667,5.714285714285714,5.0,4.444444444444445,6.0,0.06399763144215852,0.1556270283192906,0.29174470119333884,0.02904945762088619,0.6238738738738738
6,baseline_ORI,148,6,0.0,0.0,0.0,0.0,8.0,6.666666666666667,5.714285714285714,5.0,4.444444444444445,4.0,0.05175113942057422,0.13528050615706977,0.20243874748848914,0.042562971134399705,0.4583333333333333
