,method,sum,tp_sum,P@5,P@10,P@15,P@20,P@25,P@30,P@35,P@40,P@45,P@50,MAP,MRR,Fitness,Kendell,AUC
0,we_list_ORI,148,12,20.0,10.0,6.666666666666667,5.0,4.0,3.3333333333333335,8.571428571428571,7.5,6.666666666666667,6.0,0.09863138134805667,0.37247614537304685,0.17608694923377163,0.07078507078507078,0.5259009009009009
1,we_list_A,148,12,80.0,70.0,53.333333333333336,45.0,36.0,33.33333333333333,28.57142857142857,25.0,22.22222222222222,20.0,0.690363729837414,2.7047104941841775,0.3188861754202664,0.018937304651590367,0.8431869369369369
2,we_list_B,148,12,0.0,0.0,0.0,0.0,0.0,10.0,8.571428571428571,12.5,11.11111111111111,10.0,0.09082068740106475,0.23898539348419068,0.15676012140395834,0.07234785806214378,0.5163288288288289
3,baseline_ad1,148,12,20.0,10.0,33.33333333333333,40.0,40.0,33.33333333333333,31.428571428571427,27.500000000000004,24.444444444444443,22.0,0.36742045946330376,1.5975499275184681,0.3148518429768428,0.021695164552307408,0.826295045045045
4,baseline_ad2,148,12,20.0,10.0,6.666666666666667,10.0,8.0,6.666666666666667,5.714285714285714,12.5,11.11111111111111,10.0,0.177353768651178,1.2201761088396683,0.182954818920616,0.06416620702334988,0.5661599099099099
5,random,148,12,0.0,10.0,13.333333333333334,10.0,12.0,10.0,8.571428571428571,7.5,8.88888888888889,8.0,0.09739553172102573,0.3507021861303772,0.14475163175375133,0.07722007722007722,0.48648648648648646
6,baseline_ORI,148,12,0.0,0.0,0.0,0.0,8.0,6.666666666666667,5.714285714285714,5.0,6.666666666666667,14.000000000000002,0.0920332586069839,0.23585669564293238,0.14821174613181792,0.07317521603235888,0.5112612612612613
