priority1,priority2,type,package_name,field_name,method_name,startline,endline,label,s1,s2,s3,s4,addr,_package,_class,_method,rank_score,s4_rank
L,V,DP_DO_INSIDE_DO_PRIVILEGED,com.metamx.common.ByteBufferUtils,NO_FIELD,<clinit>()V,40,40,1,0,1,1.0,1.0,DP,com.metamx.common,com.metamx.common.ByteBufferUtils,com.metamx.common.ByteBufferUtils.<clinit>,0.39147407726027056,0.39147407726027056
M,B,THROWS_METHOD_THROWS_RUNTIMEEXCEPTION,com.metamx.common.ByteBufferUtils,NO_FIELD,unmap(Ljava/nio/MappedByteBuffer;)V,82,87,1,0,1,1.0,1.0,THROWS,com.metamx.common,com.metamx.common.ByteBufferUtils,com.metamx.common.ByteBufferUtils.unmap,0.39087342076976134,0.39087342076976134
M,B,THROWS_METHOD_THROWS_RUNTIMEEXCEPTION,com.metamx.common.ByteBufferUtils,NO_FIELD,free(Ljava/nio/ByteBuffer;)V,67,71,1,0,1,1.0,1.0,THROWS,com.metamx.common,com.metamx.common.ByteBufferUtils,com.metamx.common.ByteBufferUtils.free,0.38592827454383655,0.38592827454383655
H,B,DMI_RANDOM_USED_ONLY_ONCE,com.metamx.common.RetryUtils,NO_FIELD,awaitNextRetry(Ljava/lang/Throwable;IZ)V,85,85,1,0,1,1.0,1.0,DMI,com.metamx.common,com.metamx.common.RetryUtils,com.metamx.common.RetryUtils.awaitNextRetry,0.36959846189017476,0.36959846189017476
M,B,THROWS_METHOD_THROWS_RUNTIMEEXCEPTION,com.metamx.common.guava.ConcatSequence,NO_FIELD,toYielder(Ljava/lang/Object;Lcom/metamx/common/guava/YieldingAccumulator;)Lcom/metamx/common/guava/Yielder;,58,78,1,0,1,1.0,1.0,THROWS,com.metamx.common.guava,com.metamx.common.guava.ConcatSequence,com.metamx.common.guava.ConcatSequence.toYielder,0.32088925905245685,0.32088925905245685
M,V,EI_EXPOSE_REP2,com.metamx.common.parsers.JSONPathParser,fieldSpecs,<init>(Ljava/util/List;ZLcom/fasterxml/jackson/databind/ObjectMapper;)V,63,63,1,0,1,1.0,1.0,EI2,com.metamx.common.parsers,com.metamx.common.parsers.JSONPathParser,com.metamx.common.parsers.JSONPathParser.<init>,0.3185630436451243,0.3185630436451243
M,P,WMI_WRONG_MAP_ITERATOR,com.metamx.common.parsers.JSONPathParser,NO_FIELD,discoverFields(Ljava/util/Map;Ljava/util/Map;)V,150,150,1,0,1,1.0,1.0,WMI,com.metamx.common.parsers,com.metamx.common.parsers.JSONPathParser,com.metamx.common.parsers.JSONPathParser.discoverFields,0.3185630436451243,0.3185630436451243
L,P,URF_UNREAD_FIELD,com.metamx.common.parsers.JSONPathParser,fieldSpecs,NO_METHOD,63,63,1,0,1,1.0,1.0,UrF,com.metamx.common.parsers,com.metamx.common.parsers.JSONPathParser,com.metamx.common.parsers.JSONPathParser.NO_METHOD,0.3185630436451243,0.3185630436451243
M,B,THROWS_METHOD_THROWS_CLAUSE_BASIC_EXCEPTION,com.metamx.common.RetryUtils,NO_FIELD,retry(Ljava/util/concurrent/Callable;Lcom/google/common/base/Predicate;II)Ljava/lang/Object;,55,69,0,0,0,0.8566403659999999,0.8577018270000001,THROWS,com.metamx.common,com.metamx.common.RetryUtils,com.metamx.common.RetryUtils.retry,0.36014343562133044,0.30889568271447204
M,B,THROWS_METHOD_THROWS_RUNTIMEEXCEPTION,com.metamx.common.RetryUtils,NO_FIELD,retry(Ljava/util/concurrent/Callable;Lcom/google/common/base/Predicate;II)Ljava/lang/Object;,55,69,0,0,0,0.8566403659999999,0.8577018270000001,THROWS,com.metamx.common,com.metamx.common.RetryUtils,com.metamx.common.RetryUtils.retry,0.36014343562133044,0.30889568271447204
L,I,DM_CONVERT_CASE,com.metamx.common.parsers.ParserUtils,NO_FIELD,findDuplicates(Ljava/lang/Iterable;)Ljava/util/Set;,70,70,0,0,0,0.809120457,0.873798063,Dm,com.metamx.common.parsers,com.metamx.common.parsers.ParserUtils,com.metamx.common.parsers.ParserUtils.findDuplicates,0.3407404379700103,0.29773833468396665
M,B,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,com.metamx.common.StreamUtils,NO_FIELD,copyToFileAndClose(Ljava/io/InputStream;Ljava/io/File;J)J,83,83,0,0,1,1.0,1.0,RV,com.metamx.common,com.metamx.common.StreamUtils,com.metamx.common.StreamUtils.copyToFileAndClose,0.2562877313401233,0.2562877313401233
M,B,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,com.metamx.common.StreamUtils,NO_FIELD,copyToFileAndClose(Ljava/io/InputStream;Ljava/io/File;)J,56,56,0,0,1,1.0,1.0,RV,com.metamx.common,com.metamx.common.StreamUtils,com.metamx.common.StreamUtils.copyToFileAndClose,0.2562877313401233,0.2562877313401233
L,D,REC_CATCH_EXCEPTION,com.metamx.common.parsers.JSONPathParser,NO_FIELD,parse(Ljava/lang/String;)Ljava/util/Map;,126,126,0,0,1,1.0,1.0,REC,com.metamx.common.parsers,com.metamx.common.parsers.JSONPathParser,com.metamx.common.parsers.JSONPathParser.parse,0.15050303809879886,0.15050303809879886
L,P,SIC_INNER_SHOULD_BE_STATIC_ANON,com.metamx.common.parsers.JSONPathParser,NO_FIELD,parse(Ljava/lang/String;)Ljava/util/Map;,99,99,0,0,1,1.0,1.0,SIC,com.metamx.common.parsers,com.metamx.common.parsers.JSONPathParser,com.metamx.common.parsers.JSONPathParser.parse,0.15050303809879886,0.15050303809879886
M,D,DLS_DEAD_LOCAL_STORE,com.metamx.common.CompressionUtils,NO_FIELD,unzip(Lcom/google/common/io/ByteSource;Ljava/io/File;Lcom/google/common/base/Predicate;Z)Lcom/metamx/common/FileUtils$FileCopyResult;,151,151,1,0,1,1.0,1.0,DLS,com.metamx.common,com.metamx.common.CompressionUtils,com.metamx.common.CompressionUtils.unzip,0.1276860001848243,0.1276860001848243
M,B,THROWS_METHOD_THROWS_CLAUSE_BASIC_EXCEPTION,com.metamx.common.RetryUtils,NO_FIELD,retry(Ljava/util/concurrent/Callable;Lcom/google/common/base/Predicate;I)Ljava/lang/Object;,78,78,0,0,0,0.45661030700000005,0.32565800300000003,THROWS,com.metamx.common,com.metamx.common.RetryUtils,com.metamx.common.RetryUtils.retry,0.36014343562133044,0.11728359203800155
M,V,EI_EXPOSE_REP,com.metamx.common.parsers.CSVParser,fieldNames,getFieldNames()Ljava/util/List;,89,89,0,0,1,0.934230687,1.0,EI,com.metamx.common.parsers,com.metamx.common.parsers.CSVParser,com.metamx.common.parsers.CSVParser.getFieldNames,0.11305234064798954,0.11305234064798954
M,V,EI_EXPOSE_REP,com.metamx.common.parsers.DelimitedParser,fieldNames,getFieldNames()Ljava/util/List;,112,112,0,0,1,0.934230687,1.0,EI,com.metamx.common.parsers,com.metamx.common.parsers.DelimitedParser,com.metamx.common.parsers.DelimitedParser.getFieldNames,0.11174099482205503,0.11174099482205503
M,B,THROWS_METHOD_THROWS_RUNTIMEEXCEPTION,com.metamx.common.guava.ConcatSequence,NO_FIELD,makeYielder(Lcom/metamx/common/guava/Yielder;Ljava/lang/Object;Lcom/metamx/common/guava/YieldingAccumulator;)Lcom/metamx/common/guava/Yielder;,88,109,1,0,0,0.436277139,0.341308144,THROWS,com.metamx.common.guava,com.metamx.common.guava.ConcatSequence,com.metamx.common.guava.ConcatSequence.makeYielder,0.3262641384978935,0.11135660756447496
M,B,THROWS_METHOD_THROWS_RUNTIMEEXCEPTION,com.metamx.common.guava.ConcatSequence,NO_FIELD,wrapYielder(Lcom/metamx/common/guava/Yielder;Lcom/metamx/common/guava/Yielder;Lcom/metamx/common/guava/YieldingAccumulator;)Lcom/metamx/common/guava/Yielder;,118,130,0,0,0,0.430563976,0.358824906,THROWS,com.metamx.common.guava,com.metamx.common.guava.ConcatSequence,com.metamx.common.guava.ConcatSequence.wrapYielder,0.13181969405344904,0.04730018932767761
M,B,THROWS_METHOD_THROWS_CLAUSE_BASIC_EXCEPTION,com.metamx.common.lifecycle.Lifecycle,NO_FIELD,start()V,252,263,0,0,0,0.34343065799999994,0.292960121,THROWS,com.metamx.common.lifecycle,com.metamx.common.lifecycle.Lifecycle,com.metamx.common.lifecycle.Lifecycle.start,0.1566753563159491,0.045899631344038565
M,B,THROWS_METHOD_THROWS_RUNTIMEEXCEPTION,com.metamx.common.CompressionUtils,NO_FIELD,unzip(Lcom/google/common/io/ByteSource;Ljava/io/File;Lcom/google/common/base/Predicate;Z)Lcom/metamx/common/FileUtils$FileCopyResult;,130,163,0,0,0,0.37605131399999997,0.29648700100000003,THROWS,com.metamx.common,com.metamx.common.CompressionUtils,com.metamx.common.CompressionUtils.unzip,0.1276860001848243,0.037857239264484005
M,B,THROWS_METHOD_THROWS_RUNTIMEEXCEPTION,com.metamx.common.StreamUtils,NO_FIELD,retryCopy(Lcom/google/common/io/ByteSource;Lcom/google/common/io/ByteSink;Lcom/google/common/base/Predicate;I)J,164,185,0,0,0,0.368404602,0.25726328800000003,THROWS,com.metamx.common,com.metamx.common.StreamUtils,com.metamx.common.StreamUtils.retryCopy,0.11847395385919499,0.030478998912176796
M,B,THROWS_METHOD_THROWS_CLAUSE_BASIC_EXCEPTION,com.metamx.common.lifecycle.Lifecycle,NO_FIELD,addMaybeStartStartCloseInstance(Ljava/lang/Object;Lcom/metamx/common/lifecycle/Lifecycle$Stage;)Ljava/lang/Object;,214,215,0,0,0,0.398297429,0.494194346,THROWS,com.metamx.common.lifecycle,com.metamx.common.lifecycle.Lifecycle,com.metamx.common.lifecycle.Lifecycle.addMaybeStartStartCloseInstance,0.04204284834929636,0.020777337943957697
M,B,THROWS_METHOD_THROWS_CLAUSE_BASIC_EXCEPTION,com.metamx.common.lifecycle.Lifecycle,NO_FIELD,addMaybeStartManagedInstance(Ljava/lang/Object;Lcom/metamx/common/lifecycle/Lifecycle$Stage;)Ljava/lang/Object;,185,186,0,0,0,0.398297429,0.494194346,THROWS,com.metamx.common.lifecycle,com.metamx.common.lifecycle.Lifecycle,com.metamx.common.lifecycle.Lifecycle.addMaybeStartManagedInstance,0.04204284834929636,0.020777337943957697
M,B,THROWS_METHOD_THROWS_CLAUSE_BASIC_EXCEPTION,com.metamx.common.lifecycle.Lifecycle,NO_FIELD,addMaybeStartHandler(Lcom/metamx/common/lifecycle/Lifecycle$Handler;)V,227,228,0,0,0,0.39017795,0.483325004,THROWS,com.metamx.common.lifecycle,com.metamx.common.lifecycle.Lifecycle,com.metamx.common.lifecycle.Lifecycle.addMaybeStartHandler,0.04204284834929636,0.020320359846595058
M,V,EI_EXPOSE_REP2,com.metamx.common.guava.nary.TrinaryTransformIterator,iterator2,<init>(Ljava/util/Iterator;Ljava/util/Iterator;Ljava/util/Iterator;Lcom/metamx/common/guava/nary/TrinaryFn;)V,49,49,0,0,1,0.942687587,1.0,EI2,com.metamx.common.guava.nary,com.metamx.common.guava.nary.TrinaryTransformIterator,com.metamx.common.guava.nary.TrinaryTransformIterator.<init>,0.019313097498953873,0.019313097498953873
M,V,EI_EXPOSE_REP2,com.metamx.common.guava.nary.TrinaryTransformIterator,iterator1,<init>(Ljava/util/Iterator;Ljava/util/Iterator;Ljava/util/Iterator;Lcom/metamx/common/guava/nary/TrinaryFn;)V,48,48,0,0,1,0.942687587,1.0,EI2,com.metamx.common.guava.nary,com.metamx.common.guava.nary.TrinaryTransformIterator,com.metamx.common.guava.nary.TrinaryTransformIterator.<init>,0.019313097498953873,0.019313097498953873
M,V,EI_EXPOSE_REP2,com.metamx.common.guava.nary.TrinaryTransformIterator,iterator3,<init>(Ljava/util/Iterator;Ljava/util/Iterator;Ljava/util/Iterator;Lcom/metamx/common/guava/nary/TrinaryFn;)V,50,50,0,0,1,0.942687587,1.0,EI2,com.metamx.common.guava.nary,com.metamx.common.guava.nary.TrinaryTransformIterator,com.metamx.common.guava.nary.TrinaryTransformIterator.<init>,0.019313097498953873,0.019313097498953873
L,D,REC_CATCH_EXCEPTION,com.metamx.common.parsers.JSONParser,NO_FIELD,parse(Ljava/lang/String;)Ljava/util/Map;,146,146,0,0,1,1.0,1.0,REC,com.metamx.common.parsers,com.metamx.common.parsers.JSONParser,com.metamx.common.parsers.JSONParser.parse,0.017700243058866864,0.017700243058866864
