,method,sum,tp_sum,P@5,P@10,P@15,P@20,P@25,P@30,P@35,P@40,P@45,P@50,MAP,MRR,Fitness,Kendell,AUC
0,random0,116,11,20.0,10.0,6.666666666666667,5.0,4.0,6.666666666666667,8.571428571428571,7.5,8.88888888888889,8.0,0.12915871821666428,0.6793179131181507,0.1553185031417605,0.09475262368815592,0.45728840125391845
1,random1,116,11,0.0,0.0,6.666666666666667,5.0,8.0,16.666666666666664,14.285714285714285,12.5,11.11111111111111,10.0,0.10609445277312973,0.2922365106304663,0.1559676313485325,0.08680659670164917,0.49882445141065823
2,random2,116,11,0.0,0.0,0.0,0.0,8.0,13.333333333333334,11.428571428571429,10.0,11.11111111111111,12.0,0.1017314628536103,0.25864837544623154,0.1521132981292836,0.087856071964018,0.4933385579937304
3,random3,116,11,0.0,0.0,6.666666666666667,10.0,8.0,6.666666666666667,5.714285714285714,5.0,4.444444444444445,4.0,0.08484449040243718,0.25569889340246565,0.12956898009970066,0.10599700149925038,0.39851097178683387
4,random4,116,11,0.0,0.0,0.0,5.0,4.0,3.3333333333333335,5.714285714285714,5.0,4.444444444444445,4.0,0.08333913334019526,0.21781296617219326,0.152057152911088,0.10134932533733133,0.4228056426332288
5,random5,116,11,0.0,10.0,20.0,20.0,16.0,13.333333333333334,11.428571428571429,12.5,11.11111111111111,10.0,0.1342148128942794,0.43698739322637326,0.1687815023459473,0.07916041979010495,0.5387931034482758
6,random6,116,11,20.0,20.0,20.0,15.0,12.0,10.0,8.571428571428571,10.0,8.88888888888889,10.0,0.21702133623672645,1.3755255711818486,0.15224285852002967,0.0866566716641679,0.4992163009404388
7,random7,116,11,0.0,0.0,6.666666666666667,10.0,8.0,6.666666666666667,5.714285714285714,5.0,8.88888888888889,8.0,0.09689818403439475,0.275243221045379,0.17681950268873475,0.08920539730134933,0.4862852664576802
8,random8,116,11,0.0,10.0,6.666666666666667,5.0,4.0,6.666666666666667,8.571428571428571,7.5,8.88888888888889,8.0,0.10968186148433044,0.3073842365319323,0.2377757175493658,0.0760119940029985,0.5552507836990596
9,random9,116,11,0.0,0.0,6.666666666666667,10.0,8.0,10.0,8.571428571428571,7.5,8.88888888888889,8.0,0.08679037853679002,0.2568355667039877,0.12433324315870722,0.10494752623688156,0.40399686520376177
