priority1,priority2,type,package_name,field_name,method_name,startline,endline,label,addr,_package,_class,_method
L,B,SE_NO_SERIALVERSIONID,com.helger.as2.cmdprocessor.SocketCommandProcessor,NO_FIELD,NO_METHOD,81,252,0,SnVI,com.helger.as2.cmdprocessor,com.helger.as2.cmdprocessor.SocketCommandProcessor,com.helger.as2.cmdprocessor.SocketCommandProcessor.NO_METHOD
M,B,SE_BAD_FIELD,com.helger.as2.cmdprocessor.SocketCommandProcessor,m_aReader,NO_METHOD,-1,-1,0,Se,com.helger.as2.cmdprocessor,com.helger.as2.cmdprocessor.SocketCommandProcessor,com.helger.as2.cmdprocessor.SocketCommandProcessor.NO_METHOD
M,B,SE_BAD_FIELD,com.helger.as2.cmdprocessor.SocketCommandProcessor,m_aWriter,NO_METHOD,-1,-1,0,Se,com.helger.as2.cmdprocessor,com.helger.as2.cmdprocessor.SocketCommandProcessor,com.helger.as2.cmdprocessor.SocketCommandProcessor.NO_METHOD
L,B,SE_BAD_FIELD,com.helger.as2.cmdprocessor.SocketCommandProcessor,m_aSSLServerSocket,NO_METHOD,-1,-1,0,Se,com.helger.as2.cmdprocessor,com.helger.as2.cmdprocessor.SocketCommandProcessor,com.helger.as2.cmdprocessor.SocketCommandProcessor.NO_METHOD
M,B,SE_BAD_FIELD,com.helger.as2.cmdprocessor.SocketCommandProcessor,m_aParser,NO_METHOD,-1,-1,0,Se,com.helger.as2.cmdprocessor,com.helger.as2.cmdprocessor.SocketCommandProcessor,com.helger.as2.cmdprocessor.SocketCommandProcessor.NO_METHOD
L,D,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,com.helger.as2.cmdprocessor.SocketCommandProcessor,NO_FIELD,initDynamicComponent(Lcom/helger/as2lib/session/IAS2Session;Lcom/helger/commons/collection/attr/IStringMap;)V,127,127,0,BC,com.helger.as2.cmdprocessor,com.helger.as2.cmdprocessor.SocketCommandProcessor,com.helger.as2.cmdprocessor.SocketCommandProcessor.initDynamicComponent
L,D,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,com.helger.as2.cmdprocessor.SocketCommandProcessor,NO_FIELD,processCommand()V,162,162,0,BC,com.helger.as2.cmdprocessor,com.helger.as2.cmdprocessor.SocketCommandProcessor,com.helger.as2.cmdprocessor.SocketCommandProcessor.processCommand
H,I,DM_DEFAULT_ENCODING,com.helger.as2.cmdprocessor.SocketCommandProcessor,NO_FIELD,processCommand()V,166,166,0,Dm,com.helger.as2.cmdprocessor,com.helger.as2.cmdprocessor.SocketCommandProcessor,com.helger.as2.cmdprocessor.SocketCommandProcessor.processCommand
H,I,DM_DEFAULT_ENCODING,com.helger.as2.cmdprocessor.SocketCommandProcessor,NO_FIELD,processCommand()V,165,165,0,Dm,com.helger.as2.cmdprocessor,com.helger.as2.cmdprocessor.SocketCommandProcessor,com.helger.as2.cmdprocessor.SocketCommandProcessor.processCommand
L,B,SE_NO_SERIALVERSIONID,com.helger.as2.cmd.partner.ListPartnersCommand,NO_FIELD,NO_METHOD,45,76,0,SnVI,com.helger.as2.cmd.partner,com.helger.as2.cmd.partner.ListPartnersCommand,com.helger.as2.cmd.partner.ListPartnersCommand.NO_METHOD
