priority1,priority2,type,package_name,field_name,method_name,startline,endline,label,s1,s2,s3,s4,addr,_package,_class,_method,rank_score,s4_rank
M,P,DM_NUMBER_CTOR,org.apache.commons.lang.math.NumberUtils,NO_FIELD,<clinit>()V,41,41,0,0.0,0.0,0.6676727800000052,0.8405802400073182,Bx,org.apache.commons.lang.math,org.apache.commons.lang.math.NumberUtils,org.apache.commons.lang.math.NumberUtils.<clinit>,0.039543984223249694,0.033239891749224836
M,P,DM_NUMBER_CTOR,org.apache.commons.lang.math.NumberUtils,NO_FIELD,<clinit>()V,47,47,0,0.0,0.0,0.7181096091143941,0.8405802400073182,Bx,org.apache.commons.lang.math,org.apache.commons.lang.math.NumberUtils,org.apache.commons.lang.math.NumberUtils.<clinit>,0.039543984223249694,0.033239891749224836
M,V,EI_EXPOSE_REP2,org.apache.commons.lang.text.ExtendedMessageFormat,registry,<init>(Ljava/lang/String;Ljava/util/Locale;Ljava/util/Map;)V,126,126,0,0.0,1.0,0.9022018938201224,1.0,EI2,org.apache.commons.lang.text,org.apache.commons.lang.text.ExtendedMessageFormat,org.apache.commons.lang.text.ExtendedMessageFormat.<init>,0.031246452537132784,0.031246452537132784
L,I,DM_CONVERT_CASE,org.apache.commons.lang.StringUtils,NO_FIELD,lowerCase(Ljava/lang/String;)Ljava/lang/String;,4510,4510,0,0.0,0.0,0.4086707183834593,0.4456002034052817,Dm,org.apache.commons.lang,org.apache.commons.lang.StringUtils,org.apache.commons.lang.StringUtils.lowerCase,0.04292743189753021,0.01912847238520584
L,I,DM_CONVERT_CASE,org.apache.commons.lang.StringUtils,NO_FIELD,upperCase(Ljava/lang/String;)Ljava/lang/String;,4461,4461,0,0.0,0.0,0.3772257885676855,0.4456002034052817,Dm,org.apache.commons.lang,org.apache.commons.lang.StringUtils,org.apache.commons.lang.StringUtils.upperCase,0.04292743189753021,0.01912847238520584
L,D,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,org.apache.commons.lang.exception.ExceptionUtils,NO_FIELD,isNestedThrowable(Ljava/lang/Throwable;)Z,472,472,0,0.0,1.0,1.0,1.0,RCN,org.apache.commons.lang.exception,org.apache.commons.lang.exception.ExceptionUtils,org.apache.commons.lang.exception.ExceptionUtils.isNestedThrowable,0.016074842579031842,0.016074842579031842
L,P,DM_FP_NUMBER_CTOR,org.apache.commons.lang.math.NumberUtils,NO_FIELD,<clinit>()V,71,71,0,0.0,0.0,0.2970249052223177,0.32514668890398807,Bx,org.apache.commons.lang.math,org.apache.commons.lang.math.NumberUtils,org.apache.commons.lang.math.NumberUtils.<clinit>,0.039543984223249694,0.01285759553626118
L,P,DM_FP_NUMBER_CTOR,org.apache.commons.lang.math.NumberUtils,NO_FIELD,<clinit>()V,65,65,0,0.0,0.0,0.3155776688694324,0.32514668890398807,Bx,org.apache.commons.lang.math,org.apache.commons.lang.math.NumberUtils,org.apache.commons.lang.math.NumberUtils.<clinit>,0.039543984223249694,0.01285759553626118
L,D,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,org.apache.commons.lang.exception.ExceptionUtils,NO_FIELD,isNestedThrowable(Ljava/lang/Throwable;)Z,485,485,0,0.0,0.0,0.6292401800583547,0.6686125191635968,RCN,org.apache.commons.lang.exception,org.apache.commons.lang.exception.ExceptionUtils,org.apache.commons.lang.exception.ExceptionUtils.isNestedThrowable,0.016074842579031842,0.01074784099192473
L,P,DM_FP_NUMBER_CTOR,org.apache.commons.lang.mutable.MutableFloat,NO_FIELD,toFloat()Ljava/lang/Float;,253,253,1,0.0,0.0,0.16391901702731107,0.13192952292735638,Bx,org.apache.commons.lang.mutable,org.apache.commons.lang.mutable.MutableFloat,org.apache.commons.lang.mutable.MutableFloat.toFloat,0.037080187715137575,0.004891971475314921
