BC_UNCONFIRMED_CAST=>1
EI_EXPOSE_REP2=>8
OS_OPEN_STREAM_EXCEPTION_PATH=>2
SA_FIELD_SELF_ASSIGNMENT=>1
SIC_INNER_SHOULD_BE_STATIC=>4
SIC_INNER_SHOULD_BE_STATIC_ANON=>2
THROWS_METHOD_THROWS_CLAUSE_BASIC_EXCEPTION=>7
MC_OVERRIDABLE_METHOD_CALL_IN_CONSTRUCTOR=>6
EQ_COMPARETO_USE_OBJECT_EQUALS=>1
SW_SWING_METHODS_INVOKED_IN_SWING_THREAD=>1
DLS_DEAD_LOCAL_STORE_OF_NULL=>1
UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR=>4
DM_DEFAULT_ENCODING=>3
MS_EXPOSE_REP=>1
DMI_RANDOM_USED_ONLY_ONCE=>1
UPM_UNCALLED_PRIVATE_METHOD=>3
EI_EXPOSE_REP=>7
REC_CATCH_EXCEPTION=>4
SF_SWITCH_NO_DEFAULT=>4
REFLC_REFLECTION_MAY_INCREASE_ACCESSIBILITY_OF_CLASS=>1
ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD=>1
DLS_DEAD_LOCAL_STORE=>8
UR_UNINIT_READ=>1
