,PK0,PK1,PK2,PK3,PK4,PK5,PK6,PK7,PK8,PK9,PK10
P@1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P@2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P@3,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
P@4,1.0,1.0,1.0,0.75,0.75,0.75,0.5,0.5,0.5,0.5,0.5
P@5,0.8,0.8,0.8,0.8,0.6,0.6,0.4,0.4,0.4,0.4,0.4
P@6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
P@7,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857
P@8,0.5,0.5,0.5,0.5,0.375,0.375,0.375,0.375,0.375,0.25,0.25
P@9,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
P@10,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3
P@11,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727
P@12,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.25,0.25,0.25
P@13,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078
P@14,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427
P@15,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.2,0.2,0.2,0.2
P@16,0.3125,0.3125,0.3125,0.3125,0.25,0.25,0.25,0.25,0.1875,0.1875,0.1875
P@17,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.23529411764705882,0.23529411764705882,0.29411764705882354,0.29411764705882354,0.17647058823529413,0.17647058823529413,0.17647058823529413
P@18,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2777777777777778,0.2777777777777778,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.2222222222222222
P@19,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.2631578947368421,0.2631578947368421,0.3157894736842105,0.3157894736842105,0.2631578947368421,0.2631578947368421,0.2631578947368421
P@20,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.25,0.25,0.25
P@21,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.23809523809523808,0.23809523809523808,0.23809523809523808
P@22,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.22727272727272727,0.22727272727272727,0.22727272727272727
P@23,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.21739130434782608,0.21739130434782608,0.21739130434782608
P@24,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.20833333333333334,0.20833333333333334,0.20833333333333334
P@25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.2,0.2,0.2
P@26,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.19230769230769232,0.19230769230769232
P@27,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.18518518518518517,0.18518518518518517
P@28,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.17857142857142858,0.17857142857142858
