priority1,priority2,type,package_name,field_name,method_name,startline,endline,label,s1,s2,s3,s4,addr,_package,_class,_method,rank_score,rank_score0,rank_score1,rank_score2,rank_score3,rank_score4,rank_score5,rank_score6,rank_score7,rank_score8,rank_score9,rank_score10,s4_rank0,s4_rank1,s4_rank2,s4_rank3,s4_rank4,s4_rank5,s4_rank6,s4_rank7,s4_rank8,s4_rank9,s4_rank10
M,V,MS_EXPOSE_REP,org.jmeld.util.conf.ConfigurationManager,instance,getInstance()Lorg/jmeld/util/conf/ConfigurationManager;,26,26,1,0.0,1.0,0.9999999999999998,1.0000000000000002,MS,org.jmeld.util.conf,org.jmeld.util.conf.ConfigurationManager,org.jmeld.util.conf.ConfigurationManager.getInstance,0.47986549273509566,0.479169587749323,0.4793087687464776,0.4794479497436321,0.4795871307407865,0.4797263117379411,0.47986549273509566,0.48000467373225014,0.4801438547294047,0.4802830357265591,0.4804222167237137,0.48056139772086826,0.4791695877493231,0.4793087687464777,0.4794479497436322,0.4795871307407866,0.4797263117379412,0.47986549273509577,0.48000467373225025,0.4801438547294048,0.4802830357265592,0.4804222167237138,0.48056139772086837
M,V,REFLC_REFLECTION_MAY_INCREASE_ACCESSIBILITY_OF_CLASS,org.jmeld.util.conf.ConfigurationManager,NO_FIELD,get(Ljava/lang/Class;)Lorg/jmeld/util/conf/AbstractConfiguration;,65,65,1,0.0,1.0,1.0,1.0000000000000002,REFLC,org.jmeld.util.conf,org.jmeld.util.conf.ConfigurationManager,org.jmeld.util.conf.ConfigurationManager.get,0.47986549273509566,0.479169587749323,0.4793087687464776,0.4794479497436321,0.4795871307407865,0.4797263117379411,0.47986549273509566,0.48000467373225014,0.4801438547294047,0.4802830357265591,0.4804222167237137,0.48056139772086826,0.4791695877493231,0.4793087687464777,0.4794479497436322,0.4795871307407866,0.4797263117379412,0.47986549273509577,0.48000467373225025,0.4801438547294048,0.4802830357265592,0.4804222167237138,0.48056139772086837
M,V,EI_EXPOSE_REP,org.jmeld.ui.UINode,diffNode,getDiffNode()Lorg/jmeld/util/node/JMDiffNode;,39,39,0,0.0,1.0,1.0000000000000002,1.0000000000000002,EI,org.jmeld.ui,org.jmeld.ui.UINode,org.jmeld.ui.UINode.getDiffNode,0.3585411235512472,0.34583625441598964,0.3483772282430412,0.35091820207009267,0.35345917589714415,0.35600014972419564,0.3585411235512472,0.3610820973782987,0.3636230712053502,0.36616404503240174,0.3687050188594532,0.3712459926865047,0.3458362544159897,0.34837722824304124,0.3509182020700927,0.3534591758971442,0.3560001497241957,0.35854112355124723,0.36108209737829877,0.36362307120535026,0.3661640450324018,0.3687050188594533,0.37124599268650477
M,V,EI_EXPOSE_REP,org.jmeld.ui.UINode,children,getChildren()Ljava/util/List;,64,64,0,0.0,1.0,1.0000000000000002,1.0000000000000002,EI,org.jmeld.ui,org.jmeld.ui.UINode,org.jmeld.ui.UINode.getChildren,0.3585411235512472,0.34583625441598964,0.3483772282430412,0.35091820207009267,0.35345917589714415,0.35600014972419564,0.3585411235512472,0.3610820973782987,0.3636230712053502,0.36616404503240174,0.3687050188594532,0.3712459926865047,0.3458362544159897,0.34837722824304124,0.3509182020700927,0.3534591758971442,0.3560001497241957,0.35854112355124723,0.36108209737829877,0.36362307120535026,0.3661640450324018,0.3687050188594533,0.37124599268650477
M,V,EI_EXPOSE_REP,org.jmeld.ui.UINode,parent,getParent()Lorg/jmeld/ui/UINode;,92,92,0,0.0,1.0,1.0000000000000002,1.0000000000000002,EI,org.jmeld.ui,org.jmeld.ui.UINode,org.jmeld.ui.UINode.getParent,0.3585411235512472,0.34583625441598964,0.3483772282430412,0.35091820207009267,0.35345917589714415,0.35600014972419564,0.3585411235512472,0.3610820973782987,0.3636230712053502,0.36616404503240174,0.3687050188594532,0.3712459926865047,0.3458362544159897,0.34837722824304124,0.3509182020700927,0.3534591758971442,0.3560001497241957,0.35854112355124723,0.36108209737829877,0.36362307120535026,0.3661640450324018,0.3687050188594533,0.37124599268650477
M,V,EI_EXPOSE_REP2,org.jmeld.ui.UINode,diffNode,<init>(ILorg/jmeld/util/node/JMDiffNode;)V,24,24,0,0.0,1.0,1.0,1.0,EI2,org.jmeld.ui,org.jmeld.ui.UINode,org.jmeld.ui.UINode.<init>,0.38353938599685783,0.39583277930721106,0.39337410064514045,0.3909154219830698,0.3884567433209991,0.38599806465892855,0.38353938599685783,0.38108070733478727,0.3786220286727166,0.376163350010646,0.3737046713485753,0.3712459926865047,0.39583277930721106,0.39337410064514045,0.3909154219830698,0.3884567433209991,0.38599806465892855,0.38353938599685783,0.38108070733478727,0.3786220286727166,0.376163350010646,0.3737046713485753,0.3712459926865047
M,B,EQ_COMPARETO_USE_OBJECT_EQUALS,org.jmeld.ui.UINode,NO_FIELD,compareTo(Lorg/jmeld/ui/UINode;)I,136,136,0,0.0,1.0,1.0,1.0,Eq,org.jmeld.ui,org.jmeld.ui.UINode,org.jmeld.ui.UINode.compareTo,0.3585411235512472,0.34583625441598964,0.3483772282430412,0.35091820207009267,0.35345917589714415,0.35600014972419564,0.3585411235512472,0.3610820973782987,0.3636230712053502,0.36616404503240174,0.3687050188594532,0.3712459926865047,0.34583625441598964,0.3483772282430412,0.35091820207009267,0.35345917589714415,0.35600014972419564,0.3585411235512472,0.3610820973782987,0.3636230712053502,0.36616404503240174,0.3687050188594532,0.3712459926865047
L,V,MC_OVERRIDABLE_METHOD_CALL_IN_CONSTRUCTOR,org.jmeld.ui.swing.JMHighlightPainter,NO_FIELD,<init>(Ljava/awt/Color;)V,77,77,0,0.0,1.0,1.0,0.9999999999999998,MC,org.jmeld.ui.swing,org.jmeld.ui.swing.JMHighlightPainter,org.jmeld.ui.swing.JMHighlightPainter.<init>,0.26805847663821186,0.26805847663821186,0.26805847663821186,0.26805847663821186,0.26805847663821186,0.26805847663821186,0.26805847663821186,0.26805847663821186,0.26805847663821186,0.26805847663821186,0.26805847663821186,0.26805847663821186,0.2680584766382118,0.2680584766382118,0.2680584766382118,0.2680584766382118,0.2680584766382118,0.2680584766382118,0.2680584766382118,0.2680584766382118,0.2680584766382118,0.2680584766382118,0.2680584766382118
M,D,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,org.jmeld.JMeld,jmeldPanel,run()V,52,52,1,0.0,1.0,1.0000000000000002,1.0000000000000002,ST,org.jmeld,org.jmeld.JMeld,org.jmeld.JMeld.run,0.3604210482906512,0.479169587749323,0.4554198798575887,0.43167017196585433,0.40792046407411986,0.38417075618238555,0.3604210482906512,0.3366713403989168,0.31292163250718247,0.289171924615448,0.2654222167237137,0.24167250883197933,0.4791695877493231,0.4554198798575888,0.43167017196585444,0.40792046407411997,0.38417075618238566,0.36042104829065125,0.33667134039891683,0.3129216325071825,0.28917192461544805,0.26542221672371374,0.24167250883197938
M,V,MS_EXPOSE_REP,org.jmeld.JMeld,jmeldPanel,getJMeldPanel()Lorg/jmeld/ui/JMeldPanel;,43,43,0,0.0,1.0,0.7626337946396954,1.0000000000000002,MS,org.jmeld,org.jmeld.JMeld,org.jmeld.JMeld.getJMeldPanel,0.12153215940176228,0.0013918099715452183,0.02541987985758863,0.04944794974363204,0.07347601962967545,0.09750408951571887,0.12153215940176228,0.14556022928780568,0.1695882991738491,0.19361636905989252,0.21764443894593594,0.24167250883197933,0.0013918099715452186,0.02541987985758864,0.04944794974363206,0.07347601962967547,0.0975040895157189,0.1215321594017623,0.1455602292878057,0.16958829917384913,0.19361636905989257,0.217644438945936,0.24167250883197938
