,method,sum,tp_sum,P@5,P@10,P@15,P@20,P@25,P@30,P@35,P@40,P@45,P@50,MAP,MRR,Fitness,Kendell,AUC
0,we_list_0,334,7,80.0,40.0,26.666666666666668,30.0,24.0,20.0,17.142857142857142,15.0,13.333333333333334,12.0,0.6667299898682877,2.2044284025667,0.33072060283723775,0.0062038085990181804,0.8417450812660393
1,we_list_1,334,7,80.0,40.0,26.666666666666668,30.0,24.0,20.0,17.142857142857142,15.0,13.333333333333334,12.0,0.6677390591864275,2.20543747188484,0.3716419433859552,0.004729280178381975,0.8768177929854576
2,we_list_2,334,7,80.0,40.0,26.666666666666668,30.0,24.0,20.0,17.142857142857142,15.0,13.333333333333334,12.0,0.6667299898682877,2.2044284025667,0.33072060283723775,0.0062038085990181804,0.8417450812660393
3,we_list_3,334,7,80.0,40.0,26.666666666666668,30.0,24.0,20.0,17.142857142857142,15.0,13.333333333333334,12.0,0.6391676306149989,2.15543747188484,0.3730391489747775,0.004747262232292173,0.8763900769888793
4,we_list_4,334,7,60.0,40.0,26.666666666666668,30.0,24.0,20.0,17.142857142857142,15.0,13.333333333333334,12.0,0.5419284025667005,1.9697061803444784,0.32987319675031074,0.006383629138120156,0.8374679213002566
5,we_list_5,334,7,60.0,40.0,26.666666666666668,30.0,24.0,20.0,17.142857142857142,15.0,13.333333333333334,12.0,0.5429374718848403,1.9707152496626181,0.37079453729902817,0.00490910071748395,0.8725406330196749
6,we_list_6,334,7,40.0,40.0,26.666666666666668,30.0,24.0,20.0,17.142857142857142,15.0,13.333333333333334,12.0,0.4891039394481197,1.842418598645132,0.3276967803523375,0.006419593245940551,0.8366124893071001
7,we_list_7,334,7,40.0,30.0,20.0,30.0,24.0,20.0,17.142857142857142,15.0,13.333333333333334,12.0,0.4686844373376881,1.8059276679632716,0.3677698175078413,0.005052957148765532,0.8691189050470487
8,we_list_8,334,7,40.0,30.0,20.0,25.0,20.0,20.0,17.142857142857142,15.0,13.333333333333334,12.0,0.4446322776389966,1.7746881866422741,0.32418238058045273,0.006743270216324109,0.8289136013686911
9,we_list_9,334,7,40.0,30.0,20.0,25.0,20.0,16.666666666666664,17.142857142857142,15.0,13.333333333333334,12.0,0.434371702622976,1.7556048931261155,0.36365518962075843,0.005376634119149089,0.8614200171086398
10,we_list_10,334,7,40.0,30.0,20.0,25.0,20.0,16.666666666666664,14.285714285714285,15.0,13.333333333333334,12.0,0.4271414351481541,1.7473377592918466,0.3204566387867293,0.007013001024977073,0.8224978614200171
